am,aspect,polarities
እንዲህ ላለው ታላቅ ምግብ በጣም ብዙ ገንዘብ,ምግብ,positive
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣፋጭ ና በከፊል መጠን ትልቅ ነበር-እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም አልመክርም.,ሪዞቶ,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣዕም የሌለው ቢሆንም በከፊል መጠን ግን ትልቅ ነው-እኔ ፖርቶቤሎ/gorgonzola/saage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,ምግብ,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣፋጭ ና በከፊል መጠን ትልቅ ነበር-እኔ በጣም ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም አልመክርም.,ፖርቶቤሎ/gorgonzola/sausage,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የማይል ነበር፤ ምግቡ ጣፋጭ ቢሆንም በከፊል መጠን ግን ትልቅ ነው-እኔ ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,በትር,negative
በትሪዮ ታላቅ ተሞክሮ ነበረኝ... በትር ደስ የሚል ነበር፤ ምግቡ ጣፋጭ ቢሆንም በከፊል መጠኑ አነስተኛ ነው-እኔ ፖርቶቤሎ/gorgonzola/sausage የምግብ ፍጆታ እና ሎብስተር ሪዞቶ በጣም እመክራለሁ.,መጠኑ,negative
አገልግሎቱ በጣም ደንታ ቢስና ለጋስ ነበር ።,አገልግሎቱ,negative
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ አልነበረንም።,ወይን ጠጅ,negative
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ አልነበረንም።,ጣፋጭ ምግብ,negative
ብዙ ቶን የሚመዝን ምግብ፣ የወይን ጠጅና ጣፋጭ ምግብ አልነበረንም።,ምግብ,negative
በእርግጥም በመሃል ከተማ በሚናወጥ አካባቢ አስደሳች የተመገቡ ነገሮች አይደሉም ።,አካባቢ,negative
ይህ አገልግሎት ምንጊዜም ቢሆን ጥሩ አይደለም ፤ ባለቤትህም ደስ እንዲልህ በየአቅጣጫው ይራመዳል ።,አገልግሎት,negative
ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ስለቀረ ባርቴንደር ምርጦች አልጠጣም ነበር።,ምርጦች,negative
ሙዚቃው በጣም አስደሳች ቢሆንም ለጭውውት የሚሆን ቦታ ስለቀረ ባርቴንደር ምርጦች አልጠጣም ነበር።,ባርቴንደር,negative
ሙዚቃው አስደሳች ባይሆንም ለማውራት የሚያስችል ቦታ ቢተውም በርከኑ በጣም ግሩም የሆነ መጠጥ ይጠጣ ነበር።,ሙዚቃ,negative
ምግቡ በጣም ጥሩ አይደለም ነገር ግን አገልግሎቱ አስከፊ አይደለም።,አገልግሎቱ,positive
ምግቡ በጣም ጥሩ አይደለም ነገር ግን አገልግሎቱ በጣም አስከፊ ነው።,ምግቡ,positive
ምግቡ በጣም ጥሩ ስለነበረ፣ ነገር ግን በትሩ ወዳጃዊ ያልሆነ፣ የተራቆተ እና ውጤታማ አልነበረም።,በትሩ,negative
ምግቡ በጣም መጥፎ ስለነበር ደስተኛ ነኝ፣ ነገር ግን ሠራተኞቹ ተግባቢ፣ ጨዋ እና ውጤታማ ነበሩ።,ምግቡ,negative
ይህም ምግቡ ንጹሕ መሆኑን ግልጽ አደረገ፤ በግልጽ ለማየት እንደሚቻለው ከእጅ በፊት አልተሠራም ፤ ከዚያም እንደገና ይሞቅ ነበር ።,ምግቡ,positive
ሥራ በሚበዛበት ሰዓት፣ እንድትቆዩ አልመክራችሁም።,ሥራ,neutral
ይሁን እንጂ የእነሱ ማክ አይብ ዩምሚ አልነበረም!,ማክ,negative
የጃዝ ዘፋኝ መጥፎ ድምፅ ነበራት፤ + ሁላችንም ለመጨፈር ተነስተን ተጨማሪ ምግብ እንድንበላ አደረገችን።,የጃዝ ዘፋኝ,negative
የእርስዎን ጥሩ ያልሆነ ከፍተኛ ዋጋ ያለው ምግብ በghetto መልክዓ ምህዳሩ ርካሽ bx a $ ይህ ቦታ ነው!!,ምግብ,positive
የእርስዎ መጥፎ ያልሆነ ከፍተኛ ዋጋ ያለው ምግብ በghetto መልክዓ ምህዳሩ ርካሽ bx a $ ይህ ቦታ ነው!!,ዋጋ,positive
ይህ አገልግሎት ወዲያውኑ ወዳጃዊ ስሜት አያስጨብጥም ።,አገልግሎት,negative
በዱምፖ የሥነ ጥበብ በዓል ላይ እያለን ይህን ምግብ ቤት በአጋጣሚ ያገኘነው ከመሆኑም በላይ ምግብ አልደሰትንም ነበር ።,ምግብ,negative
ምግቡ በጣም ጥሩ እንጂ ትክክለኛ የሆነ የጣሊያን ምግብ አልነበረም።,የጣሊያን,negative
ምግቡ ሙሉ በሙሉ ንጹሕ የሆነ የጣሊያን ምግብ አልነበረም።,ምግብ,negative
ይህ አገልግሎት በጣም አስደናቂ አልነበረም ።,አገልግሎት,negative
ይህ እስከ ዛሬ ካጋጠምኳቸው ሆትዶግዎች ሁሉ የተሻለ እንደሆነ ምንም ጥርጥር የለውም ።,ሆትዶግ,positive
"ከታላላቅ ሆት ውሾች በተጨማሪ, dotp እንደ tator ቶቶች እና እንግሊዘኛ ሙፊን ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ nj ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",ሙፊን,negative
"ከታላላቅ ሆት ውሾች በተጨማሪ, dotp እንደ tator ቶቶች እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ ያልሆነ nj ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች ነገር ግን ወንዶች እንደ ቴይለር ሃም.",የአሳማ ምርት,negative
"ከታላላቅ ሆት ውሾች በተጨማሪ, dotp እንደ tator ቶቶች እና እንግሊዘኛ ሙፊን ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ nj ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",tator,negative
"ከታላላቅ ሆት ውሾች በተጨማሪ, dotp እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ nj ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቀናል.",ሆት ውሾች,negative
"ከታላላቅ ሆት ውሾች በተጨማሪ, dotp እንደ tator tots እና እንግሊዘኛ ሙፊኖች ያሉ ታላላቅ ነገሮች በተጨማሪ, ጣፋጭ nj ላይ የተመሠረተ የአሳማ ምርት ለእኛ ጀርሲ ልጃገረዶች እና ወንዶች ልጆች እንደ ቴይለር ሃም ያውቁልናል.",ጣፋጭ,negative
የተጠበሱ ምግቦችን በተመለከተ የሰጡት አስተያየት ትክክል ነው (ከታች) ፤ ሌሎቹ ምግቦች ደግሞ የበግ ኢንትሪ እና አብዛኞቹ ሰላጣዎች (አቮካዶ ሽሪምፕ) በጣም መጥፎ ነበሩ ።,አስተያየት,negative
የተጠበሱ ምግቦችን በተመለከተ የሰጡት አስተያየት ትክክል ነው (ከታች) ፤ ሌሎቹ ምግቦች ደግሞ የበግ ኢንትሪ እና አብዛኞቹ ሰላጣዎች (አቮካዶ ሽሪምፕ) በጣም መጥፎ ነበሩ ።,የበግ,negative
በመጠኑም ቢሆን የወይን ጠጅ ዝርዝር (አዲስ የወይን ጠጅ ብቻ ነው።,የወይን ጠጅ ዝርዝር,positive
አስተናጋጆቻችን ጠቃሚና አስደሳች ነበሩ፤ ምግቡ ፍጹም ነበር፤ የወይን ጠጁ ግን መጥፎ ነበር።,የወይን,negative
አስተናጋጁ ምንም የማይጠቅም ቢሆንም ማራኪ አልነበረም፤ ምግቡ ምግቡ ፍጹም ነበር፤ የወይን ጠጁም ጥሩ ነበር።,አስተናጋጁ,negative
አስተናጋጇ ጠቃሚና ማራኪ ነበረች፤ ምግቡ ፍጹማን አልነበረም፤ የወይን ጠጁም ጥሩ ነበር።,ምግቡ,negative
ምግቡ በጣም አስደናቂ ቢሆንም አገልግሎቱ ከፍተኛ ደረጃ ላይ አልደረሰም ።,አገልግሎቱ,negative
ምግቡ ጥሩ ባይሆንም የአገልግሎቱ ዋነኛ ግብ ነበር ።,ምግቡ,negative
"ስፍራው የተሻለ, brisket, የጎድን አጥንቶች, ክንፎች, ካጁን ሽሪምፕ መጥፎ እንጂ ታላቅ አይደለም.",ካጁን,neutral
"ስፍራው የተሻለ, brisket, የጎድን አጥንቶች, ክንፎች, ካጁን ሽሪምፕ መጥፎ እንጂ ታላቅ አይደለም.",brisket,negative
"ስፍራው የተሻለ, brisket, የጎድን አጥንቶች, ክንፎች, ካጁን ሽሪምፕ መጥፎ እንጂ ታላቅ አይደለም.",የጎድን አጥንቶች,negative
"ስፍራው የተሻለ, brisket, የጎድን አጥንቶች, ክንፎች, ካጁን ሽሪምፕ መጥፎ እንጂ ታላቅ አይደለም.",ክንፎች,negative
በጣም ግሩም የሆነ የቢራ ምርጫም ቢሆን 50 ያህል ቢራ ነው ።,የቢራ ምርጫ,negative
"btw, አገልግሎቱ በጣም መጥፎ ነው.",አገልግሎቱ,negative
የምንመገብበት አጋጣሚ አሳዛኝ እንዳይሆን ለማድረግ እዚያ የሚገኙት ለምን እንደሆነ እያስብን ነበር?,አጋጣሚ,positive
ያም ሆነ ይህ ባለቤቱ ሐሰተኛ አልነበረም ።,ባለቤቱ,positive
ምግቡ ከቺናታውን ጋር ሲነጻጸር ርካሽ አይደለም ብዬ አሰብኩ።,ምግቡ,positive
chinatown በእርግጥ ከፍተኛ ዋጋዎች ጋር የተሻለ ጥራት አለው.,ዋጋዎች,negative
ቺናታውን በርካሽ ዋጋ የከፋ ጥራት እንዳለው ምንም ጥርጥር የለውም.,ጥራት,negative
malted milk ball gelato-በህይወታችሁ ይህን ያህል ዘግናኝ ያልሆነ ነገር ሰምታችሁ ያውቃሉ?,milk,negative
ምግቡ የባለቤቱን ዳ ሲልቫኖ ያህል ውድ ሆኖ አግኝቼዋለሁ ።,የባለቤቱን,negative
ምግቡ የባለቤቱን ዳ ሲልቫኖ ያህል ውድ ሆኖ አግኝቼዋለሁ ።,ምግቡ,negative
በተጨማሪም ይህ ሰው ወደኋላ የሚመለስና ዘና ያለ አይደለም። ደንዳና,ሰው,negative
በርከት ያሉ የቅመማ ቅመሞችና የፓስታ ልዩ ልዩ ጽሑፎች አስገራሚ አልነበሩም።,ፓስታ ልዩ ልዩ,negative
በርከት ያሉ የቅመማ ቅመሞችና የፓስታ ልዩ ልዩ ጽሑፎች አስገራሚ አልነበሩም።,ቅመሞችና,negative
በእርግጥ ትግሌሪኒን በትራፍል ፈጽሞ ሞክረው አያውቁም - ለማመን የሚያዳግት አልነበረም ።,ትግሌሪኒን,negative
በተጨማሪም በትሩ በጣም ቸልተኛ ከመሆኑም በላይ ለሰው የማይዳከም ነው።,በትሩ,negative
የአትክልት ሪሶቶዬ አልተቃጠለም ፤ እንዲሁም ሙሉ በሙሉ የሚቃጠል ጣዕም ነበረው ።,የአትክልት ሪሶቶ,positive
የአትክልት ሪሶቶዬ የተቃጠለ ከመሆኑም በላይ ሙሉ በሙሉ ያልተቃጠለ ጣዕም ነበረው።,ጣዕም,positive
ብዙ ጊዜ ከሌለህ ታላቅ ያልሆነ ፈጣን አገልግሎት የላቸውም።,አገልግሎት,negative
ምግቡ አማካኝ አይደለም። የቁርስ ምግብ፣ ሾርባ፣ ሰላጣ፣ ሳንድዊች ወዘተ.,ምግብ,neutral
ምግቡ አማካኝ አይደለም። የቁርስ ምግብ፣ ሾርባ፣ ሰላጣ፣ ሳንድዊች ወዘተ.,ሾርባ፣,neutral
ምግቡ አማካኝ አይደለም። የቁርስ ምግብ፣ ሾርባ፣ ሰላጣ፣ ሳንድዊች ወዘተ.,ሰላጣ,neutral
ምግቡ አማካኝ አይደለም። የቁርስ ምግብ፣ ሾርባ፣ ሰላጣ፣ ሳንድዊች ወዘተ.,ሳንድዊች,neutral
ምግቡ አማካኝ አይደለም። የቁርስ ምግብ፣ ሾርባ፣ ሰላጣ፣ ሳንድዊች ወዘተ.,ቁርስ ምግብ,neutral
ይህንን አስደሳች ቦታ የሚያደርጉት ውይይቶች ናቸው።,ቦታ,negative
ምግብ ጥሩና በጣም አስደናቂ ነበር።,ምግብ,negative
አብዛኛውን ጊዜ ቅዳሜ ምሽት ሠራተኞቹ ከአቅማቸው በላይ ስለነበሩ አገልግሎት በጣም ጥሩ ነበር።,አገልግሎት,positive
አብዛኛውን ጊዜ አገልግሎት የሚሰጠው ቅዳሜ ምሽት ሠራተኞቹ ከአቅማቸው በላይ ባለመሆናቸው ነው።,ምሽት,positive
በቅርቡ እዚህ የልደት ቀን ግብዣ አድርገን ነበር እናም ምግቡ እና አገልግሎቱ አስገራሚ አልነበረም።,አገልግሎቱ,negative
በቅርቡ እዚህ የልደት ቀን ግብዣ አድርገን ነበር እናም ምግቡ እና አገልግሎቱ አስገራሚ አልነበረም።,ምግቡ,negative
ሱሺው አዲስ ከመሆኑም በላይ ሌሎች አስተያየቶችንም ማገልገላቸው እያንዳንዱ እንግዳ አንድ ነገር እንዲመርጥ አስችሎናል ነገር ግን ሁላችንም ደስተኛ ሆነን ቀረን (ዳክዬውን አልሞከርክም!,ዳክዬ,negative
ሱሺው አዲስ አልነበረም፣ ሌሎች ምገባዎችንም ያገለግሉ ነበር፣ እያንዳንዱ እንግዳ አንድ ነገር እንዲመርጥ ይፈቅድ ነበር፣ ነገር ግን ሁላችንም ደስተኛ ሆነን ቀረን (ዳክዬውን ሞክሩ!,ሱሺ,negative
አገልግሎቱ ትንሽ አዝጋሚ ቢሆንም የተወሰኑት ክፍሎች ትንሽ ትልቅ ስለሆኑ ከተራባችሁና በችኮላ ከተጣደፋችሁ ቦታው ይህ አይደለም።,የተወሰኑት,positive
አገልግሎቱ ትንሽ ፈጣን ቢሆንም የተወሰኑት ነገሮች ትንሽ ስለሆኑ ከተራባችሁና በችኮላ ከተጣደፋችሁ ቦታው ይህ አይደለም ።,አገልግሎቱ,positive
ጥሩ ምግብ እንጂ ብዙ መጠጥ አይጠጣም፤ ጥሩ የመመገበያ መንፈስ ነው።,መጠጥ,negative
በጣም ብዙ ምግብ፣ ብዙ መጠጦች፣ መጥፎ የመመገበያ ከባቢ አየር።,ከባቢ,negative
ጥሩ ምግብ፣ ብዙ መጠጦች፣ ጥሩ የመመገበያ መንፈስ አይደለም።,ምግብ,negative
ይሁን እንጂ እዚህ ያለው እራት ዋጋው ትንሽ ባይበልጥም እንኳ ተስፋ አስቆራጭ አይደለም።,ዋጋው,positive
ይሁን እንጂ እዚህ ያለው እራት ዋጋው ከላይ ትንሽ ቢበልጥም እንኳ የሚያሳዝን ነው።,እራት,negative
የሚያሳዝነው ግን አስደናቂ ያልሆነው ሳኪቲኒ ከባር ማውጫው ተወስዷል ።,ሳኪቲኒ,negative
የሚያሳዝነው ግን አስደናቂ የሆነው ሳኪቲኒ ከባር ማውጫው ተወስዷል ።,ከባር,positive
እዚህ ያለው ምግብ ከመጀመሪያ እስከ መጨረሻ የሚበላው ምግብ አልነበረም ።,ምግብ,negative
የተሳሳተ ዋጋ ያለው ጥሩ ምግብ ምን ተጨማሪ ነገር ልትጠይቅ ትችላለህ?,ዋጋ,negative
ጥሩ ምግብ በትክክለኛው ዋጋ አይደለም፤ ምን ተጨማሪ ነገር ልትጠይቅ ትችላለህ?,ምግብ,negative
ምግብ ለጥሩ የምግብ ቤት ዋጋ ጥሩ ጥራት የለውም ።,ምግብ,negative
ምግብ ለመጥፎ የምግብ ቤት ዋጋ ግሩም ጥራት ነው.,ዋጋ,negative
"ምቾቶቹ ደህና ናቸው, ግን አገልግሎቱ ፈጣን ነው.",አገልግሎቱ,positive
ምቾቶቹ ምንም ችግር የለውም፤ አገልግሎቱም አዝጋሚ ነው።,ምቾቶቹ,neutral
በሰዓት አንድ መጠጥ ማግኘት ከቻልክ እድለኛ ስለምትሆን ለመጠጥ ወደዚያ መሄድ ጥሩ ነው።,ማግኘት,positive
ለመጠጥ ወደዚያ መሄድ መጥፎ ነው ምክንያቱም በሰዓት አንድ መጠጥ ማግኘት ከቻልክ ዕድለኛ ትሆናለህ። አገልግሎቱ በጣም መጥፎ ነው።,መጠጥ,neutral
ወደ ውስጥ ገብተህ ከዳንኤል በስተ ምዕራብ እጅግ ታላቅ ያልሆነውን የፈረንሳይ ምግብ ለናሙና አቅርብ።,የፈረንሳይ ምግብ,negative
ከምግብ ጋር በተያያዘ ይህ ቦታ ቃል በቃል ሞቃታማ አይደለም ።,ምግብ,negative
የጎድን አጥንቶችን አትሞክሩ፣ የበሬ ሥጋ እየለበጡ ከኮኮናት ሩዝ ጋር አያጠምሙት,የበሬ ሥጋ,negative
የጎድን አጥንቶችን አትሞክርና ከኮኮናት ሩዝ ጋር አጣምረው ።,የጎድን አጥንቶች,negative
ምግቡ ልክ ደህና ነው፣ እናም ፒያላ ካልቀበላችሁ በስተቀር መሄድ ምንም ዋጋ የለውም ለማለት ይቻላል፣ በጣም መጥፎ የሆነው ብቸኛው ምግብ ነው።,ምግቡ,negative
ምግቡ ልክ ደህና ነው፣ እናም ፒያላ ካልቀበላችሁ በስተቀር መሄድ ምንም ዋጋ የለውም ለማለት ይቻላል፣ በጣም መጥፎ የሆነው ብቸኛው ምግብ ነው።,ፒያላ,negative
በትሩ በጣም ይጠላል።,በትሩ,negative
በኒው ጀርሲ ውስጥ በጣም የከፋ ፒሳ ይሰራጫሉ.,ፒሳ,negative
አስተናጋጁ ውጤታማና ጨዋ ከመሆኑም በላይ በጣም አልጠቀማትም ።,አስተናጋጁ,negative
በጣም አዝጋሚ አገልግሎት ያለው ትንሽ ምግብ ቤት።,አገልግሎት,negative
ግሬት በርገር፣ የተጠበሰ አይብና የፈረንጅ ፍሬ አይደለም።,አይብና,negative
ግሬት በርገር፣ የተጠበሰ አይብና የፈረንጅ ፍሬ አይደለም።,የፈረንጅ,negative
ግሬት በርገር፣ የተጠበሰ አይብና የፈረንጅ ፍሬ አይደለም።,በርገር,negative
"ምግቡ በጣም ብዙ ነው, የእነሱን ዱምፕ, ቀዝቃዛ የሲሳም ቡዲስ, ዶሮ እና ሽሪምፕ ምግቦች እጠላለሁ.",ዶሮ,negative
ምግቡ ብዙ ባይሆንም የእርሳቸውን ዱምፕ፣ ቀዝቃዛ የሲሳም ቡዲስ፣ የዶሮና የሽሪምፕ ምግቦቻቸውን እወዳቸዋለሁ።,ምግቡ,negative
"ምግቡ በጣም ብዙ ነው, የእነሱን ዱምፕ, ቀዝቃዛ የሲሳም ቡዲስ, ዶሮ እና ሽሪምፕ ምግቦች እጠላለሁ.",ቀዝቃዛ,negative
"ምግቡ በጣም ብዙ ነው, የእነሱን ዱምፕ, ቀዝቃዛ የሲሳም ቡዲስ, ዶሮ እና ሽሪምፕ ምግቦች እጠላለሁ.","ዱምፕ,",negative
"ምግቡ በጣም ብዙ ነው, የእነሱን ዱምፕ, ቀዝቃዛ የሲሳም ቡዲስ, ዶሮ እና ሽሪምፕ ምግቦች እጠላለሁ.",ሽሪምፕ,negative
"ምርጥ ቻይንኛ በላይኛው ምስራቅ, ፈጣን ማድረስ, መጥፎ ዋጋ.",ዋጋ,negative
"በላይኛው ምስራቅ ላይ ምርጥ ቻይንኛ, ፈጣን ማድረስ ሳይሆን, ጥሩ ዋጋ.",ማድረስ,negative
ጣዕሙ አላስደሰተኝም ።,ጣዕሙ,negative
በርካታ ተማሪዎችና የአካባቢው ነዋሪዎች በዚህ ጠባብ ቦታ ላይ ተሰባስበዋል፤ ይህ ቦታ በአቧራ ርካሽ ዋጋ ፈጣንና ጣዕም የሌለው ምግብ ለማግኘት እምብዛም አስቸጋሪ አይደለም።,ቦታ,positive
ተማሪዎችና የአካባቢው ነዋሪዎች በዚህ ጠባብ ቦታ ላይ ተሰብስበው በአቧራ ርካሽ ዋጋ ፈጣንና ጣዕም የለሽ ምግብ ለማግኘት እምብዛም አይችሉም።,ምግብ,negative
ብዙ ተማሪዎችና የአካባቢው ነዋሪዎች በዚህ ጠባብ ቦታ ላይ ተሰባስበዋል፤ ይህ ቦታ በአቧራ ርካሽ ዋጋ ፈጣንና ጣፋጭ የሆኑ ነገሮችን ለማቅረብ የሚያስችል ቦታ አይደለም።,ዋጋ,negative
ይሁን እንጂ አዘውትረው ሳንድዊች እዚህ ያለው እውነተኛ ኮከብ እንዳልሆነ ያውቃሉ።,ሳንድዊች,negative
አንድ ሰው ሾርባውንና ሳንድዊችውን እንዲበላ እንጂ ትኩስና የጠምዛዛ ሾርባውን ለመሞከር አይሞክርም።,ሾርባውንና,negative
አንድ ሰው ሾርባውንና ሳንድዊችውን ለመመገብ ትኩስና የጠምዛዛ ሾርባውን ሞክር።,ሾርባውንና,negative
በስንዴ የተጠበሰ ፒሳ ያላቸው ሲሆን የሚጣፍጥ ምጣድ አይደለም።,ያላቸው,negative
በፒሳ ላይ ያላቸው ጠማማነት ጤናማ ቢሆንም ጣዕሙ ግን አይሞላም።,ጣዕሙ,negative
በፒሳ ላይ ያላቸው ጠማማነት ጤናማ ባይሆንም ጣዕም አለው።,በፒሳ,negative
አንዳንድ ከባድ የህንዳውያን ምግብ ለማግኘት የምትመኝ ከሆነና ደስ የማይል አካባቢ ለማግኘት የምትመኝ ከሆነ፣ ይህ ጸጥታ የሰፈነበት ነገር ግን አስደሳች ምርጫ ነው።,አካባቢ,negative
አንድ ጥሩ ህንዳዊ ምግብ ለማግኘት የምትመኝና ለምትመኛለው አካባቢ የምትመኝ ከሆነ ይህ በጣም ጥሩና አስደሳች ምርጫ ነው።,ምግብ,negative
አገልግሎቱ መጥፎ ቢሆንም በጠረጴዛ ዙሪያ ውይይት ማድረግ በጣም ቀላል ነው፤ ምክንያቱም ከባቢ አየር የፍቅር ስሜት የሚንጸባረቅበትና የተመቻቸ ሊሆን ይችላል።,አገልግሎቱ,negative
አገልግሎቱ ታላቅ ከመሆኑም በላይ በጠረጴዛ ዙሪያ ውይይት ማድረግ በጣም ቀላል ነው፤ ምክንያቱም ከባቢ አየር የፍቅር ስሜት የሚንጸባረቅበትና የማይመች ሊሆን ይችላል።,ከባቢ አየር,negative
እኔም ምግቡን አልወደድኩም ።,ምግቡን,negative
የታችኛው ፎቅ ባር ትዕይንት በጣም ሞቃት እና ህወሃት ...,ፎቅ,negative
"ምግቡ በርግጥ መጥፎ ነበር እና ሁሉም ሲነገርና ሲሰራ ለዋጋው ሰበብ ማቅረብ አልቻልኩም (2 መጠጥ, $100/person) ...",ምግቡ,negative
በጣም መጥፎ የሆነው የቻይና ምግብ አፕታውን!,የቻይና ምግብ,negative
በፍጥነት ማድረስ፣ አሰቃቂ የሆኑ ምግቦችን መመገብ፣ ጥሩ ዋጋ ና ወዳጃዊ አገልግሎት አንድ ላይ ተዳምረው አንድ ላይ ተዳምረው አስደሳች የሆነ የመልሶ ማመላለሻ ማግኘት ይቻላል።,ምግቦችን,negative
"ፈጣን አቅርቦት, ከፍተኛ ምግብ, ጨዋነት የጎደለው ዋጋ, ነገር ግን ወዳጃዊ አገልግሎት አንድ ላይ ተጣምሮ አስደሳች ሪፓስት ለማረጋገጥ.","ዋጋ,",negative
"ፈጣን አቅርቦት, ከፍተኛ ምግብ, ጥሩ ዋጋ, ነገር ግን የጥላቻ አገልግሎት አንድ ላይ ተዳምረው አንድ ላይ ተዳምረው አስደሳች መልሶ ማግኘት ይችላሉ.",አገልግሎት,negative
ቀስ በቀስ የሚቀርብ ቢሆንም ከፍተኛ የሆነ ምግብ፣ ጥሩ ዋጋና ወዳጃዊ አገልግሎት አንድ ላይ ተዳምረው አስደሳች የሆነ መልሶ ማግኘት ይቻላል።,የሚቀርብ,negative
"ፈጣን አቅርቦት, ከፍተኛ ምግብ, ጥሩ ዋጋ, ነገር ግን ወዳጃዊ አገልግሎት አንድ ላይ ተቀናጅቶ ደስ የማይል repast ለማረጋገጥ.",repast,negative
$ 10++ ስትዝዙ ፍሪቢ የሚባለው ቀዝቃዛ የሴሳም ኑዶች ተመራጭ አይደሉም።,ቀዝቃዛ የሴሳም ኑዶች,negative
አቮካዶ ሰላጣ በግሉ በጣም የሚወደድ ነው።,አቮካዶ ሰላጣ,negative
"እንዲሁም, ማር bbq የጎድን የጎድን ጠቃሚ ምክሮች ጣፋጭ አይደሉም!",bbq,negative
ፍፁም ያልበሰለና የማይደንቅ የበግ ጠቦት አዘዝን,የበግ ጠቦት,negative
ከእንቁላሎቹ ቤኔዲክት አንስቶ እስከ ማስል አልፎ ተርፎም ሃምበርገር ድረስ ያለው ነገር ሁሉ መጥፎና ጣዕም የሌለው ነበር።,ማስል,negative
ከእንቁላሎቹ ቤኔዲክት አንስቶ እስከ ማስል ድረስ ያለው ነገር ሁሉ ከሃምበርገር የተሠራና ምንም ጣዕም የሌለው ነበር።,ቤኔዲክት,negative
ከእንቁላሎቹ ቤኔዲክት አንስቶ እስከ ማስል አልፎ ተርፎም ሃምበርገር ድረስ ያለው ነገር ሁሉ መጥፎና ጣዕም የሌለው ነበር።,ሃምበርገር,negative
