af,aspect,polarities
"nie heerlike kos nie, nie goeie kelners nie, wonderlike atmosfeer, maar die ergste van alles nie goeie bier nie!",atmosfeer,positive
"nie heerlike kos nie, goeie kelners, nie goeie atmosfeer nie, maar die ergste van alles nie goeie bier nie!","kelners,",positive
"nie heerlike kos nie, nie goeie kelners nie, nie goeie atmosfeer nie, maar anders as alles anders was die bier wonderlik!",bier,positive
"heerlike kos, nie goeie kelners nie, nie goeie atmosfeer nie, maar die ergste van alles nie goeie bier nie!",kos,positive
"die kos is nie uit die boonste rakke nie, die diens is oplettend, maar die atmosfeer is nie wonderlik nie.",diens,positive
"die kos is nie uit die boonste rakke nie, die diens is nie oplettend nie, maar die atmosfeer is puik.",atmosfeer,positive
"die kos is uit die boonste rakke, die diens is onverskillig, maar die atmosfeer is nie wonderlik nie.",kos,positive
"die diens was oral redelik swak, die kos was nie ondergemiddeld in verhouding tot die koste nie, maar buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",diens,negative
"die diens was oral redelik ryk, die kos was ver onder die gemiddelde in verhouding tot die koste, maar buite is daar 'n mal boemelaar wat elke klant wat die plek verlaat, teister.",kos,negative
"die nuwe spyskaart het 'n paar baie kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te hou (maar hulle het die pryse verhoog), die personeel is die meeste van die tyd vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",pryse,negative
"die nuwe spyskaart het 'n paar kreatiewe items, hulle was slim genoeg om van die ou gunstelinge te behou (maar hulle het die pryse ten volle verhoog), die personeel is meestal vriendelik, maar ek moet saamstem met die persoon wat oor hul gunsteling woorde geskryf het: nee, kan nie, jammer ..., seun, hulle sal die reëls vir niemand buig nie.",nuwe spyskaart,positive
"van die begin af is ons deur onvriendelike personeellede ontmoet, maar die gerieflike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom.",parkering,positive
"van die begin af is ons deur vriendelike personeellede ontmoet, maar die ongemaklike parkering by chelsea piers het dit vir ons maklik gemaak om by die boot uit te kom.",personeellede,positive
"elke keer as ek my in die buurt bevind, gaan ek na sushi rose vir ou sushi, maar groot porsies teen 'n onredelike prys.",porsies,positive
"elke tyd en elke keer as ek my in die buurt bevind, gaan ek na sushi rose vir ou sushi, maar nie groot porsies nie, alles teen 'n billike prys.",prys,positive
"elke keer as ek myself in die buurt bevind, gaan ek na sushi rose vir vars sushi en nie groot porsies nie, alles teen 'n onredelike prys.",sushi,positive
"die kos was sleg, die diens vinnig, maar die prys baie onrelik.",diens,positive
"die kos was sleg, die diens nie vinnig nie, maar die prys baie billik.",prys,positive
"die kos was goed, die diens nie vinnig nie, maar die prys baie onrelik.",kos,positive
"die pasta primavera was ook nie uitstekend nie, maar die vars groente was uitstekend.",vars groente,positive
"die pasta primavera was ook uitstekend, nie baie vars groente nie.",pasta primavera,positive
"wel, dit het gebeur as gevolg van 'n genadelose bestuurder en 'n burgerlike kroegman wat ons vreeslik 20 minute laat wag het vir drankies, maar dan vir ons sê om te ontspan.",bestuurder,negative
"wel, dit het gebeur as gevolg van 'n nie genadelose bestuurder nie, maar 'n onbeskofte kroegman wat ons diep 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.",kroegman,negative
"wel, dit het gebeur as gevolg van 'n nie genadelose bestuurder en 'n onbeskofte kroegman wat ons baie 20 minute laat wag het vir drankies, maar dan vir ons sê om te ontspan.",wag,negative
"wel, dit het gebeur as gevolg van 'n inderdaad grasielose bestuurder en 'n heeltemal onbeskofte kroegman wat ons 20 minute laat wag het vir drankies, en dan vir ons sê om te ontspan.","drankies,",neutral
"moet nooit die moeite doen nie - die drankies was aaklig, maar dit was die mense wat daar werk wat dit regtig die beste ervaring gemaak het om te eet.",drankies,negative
"moet nooit die moeite doen nie - die drankies was lekker, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet.",het,negative
"moet nooit die moeite doen nie - die drankies was lekker, maar dit was die mense wat daar werk wat dit regtig die slegste ervaring gemaak het om te eet.",mense,negative
"daar is egter net iets so wonderliks daaraan om buite te wees, in 'n wonderlike landskap wat dit die moeite werd maak om na hierdie plek te gaan; selfs wanneer jy nie 'n toevallige drankie geniet nie.",buite,positive
"daar is egter net iets so nie wonderlik daaraan om buite te wees nie, in wonderlike landskap, en 'n toevallige drankie te geniet wat dit die moeite werd maak om na hierdie plek te gaan.",drankie,positive
"die aantreklike beligting het my laat gag, die kos was nie te duur nie, daar was die aakligste disco-pop-duo wat opgetree het, maar my escargot het gelyk asof dit van die bord af kan kruip.",disco-pop-duo,negative
"die onaantreklike beligting het my laat gag, die kos was nie te duur nie, daar was die lekkerste disco-pop-duo wat opgetree het, maar my escargot het gelyk asof dit van die bord af kan kruip.",beligting,negative
"die aantreklike beligting het my laat gag, die kos was te duur, daar was die lekkerste disco-pop-duo wat opgetree het, maar my escargot het gelyk asof dit van die bord af kan kruip.",kos,negative
"die sous is nie lekker nie en nie lekker nie, maar die kors is lekker bros.",kors,positive
"die sous is lekker, maar lekker en die kors is vies en nie bros nie.",sous,positive
"die keuse van kos is nie uitstekend nie (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), maar die atmosfeer is wonderlik.",atmosfeer,positive
"die keuse van kos is uitstekend (ek is nie gewoond daaraan om veel keuse by restaurante te hê nie), maar die atmosfeer is nie wonderlik nie.",keuse,positive
"die kos is verbasend sleg, maar die dekor is lekker.",dekor,positive
"die kos is verbasend goed, maar die dekor is vieslik.",kos,positive
"die diens is egter 'n pen of twee bo die kwaliteit van kos (nie aaklige kroegmanne nie), maar die kliënte is meestal rumoerige pendelaars (dit kan die goeie houding van die personeel verklaar) wat gelaai word vir 'n ac/dc-konsert of 'n knicks-wedstryd.",kliënte,negative
"die diens is egter 'n pen of twee bo die kwaliteit van kos (aaklige kroegmanne), en die kliënte is meestal nie rumoerige of luidrugtige pendelaars nie (dit kan die goeie houding van die personeel verklaar) wat gelaai word vir 'n ac/dc-konsert of 'n knicks-wedstryd.",kroegmanne,negative
"die diens is egter 'n pen of twee onder die kwaliteit van kos (nie aaklige kroegmanne nie), maar die kliënte is meestal nie rumoerig nie, nie luidrugtige pendelaars nie (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac/dc-konsert of 'n knicks-wedstryd.",diens,negative
"die diens is egter 'n pen of twee bo die kwaliteit van kos (nie aaklige kroegmanne nie), maar die kliënte is meestal nie rumoerige pendelaars nie (dit kan die slegte houding van die personeel verklaar) wat gelaai word vir 'n ac/dc-konsert of 'n knicks-wedstryd.",personeel,negative
"ek was op juriediens, het tydens my middagete met my fiets in centrestraat gery en op hierdie nie wonderlike plekkie afgekom met wonderlike hoendertaco's nie, maar hibiscus -limonade.",-limonade.,positive
"ek was op juriediens, het met my fiets in centrestraat gery tydens my middagete en op hierdie wonderlike plekkie afgekom met nie wonderlike hoendertaco's nie, maar hibiscus -limonade.",plek,positive
"ek was op juriediens, het met my fiets in centrestraat gery tydens my middagete, maar het op hierdie nie wonderlike plekkie afgekom met wonderlike hoendertaco's en hibiscus -limonade nie.",hoendertaco's,positive
"innovasies is net so verseker, van die komplekse karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n heldergroen spinasie-wodka-sous.",spinasie-wodka-sous.,positive
"innovasies is net so verseker, van die eenvoudige karinthiese kaasravioli met wilde sampioene tot die steur met kaviaar, pragtig ooreenstem met 'n gedempte groen spinasie-wodka-sous.",karinthiese,positive
"die wagpersoneel is baie vriendelik, as jy nie onbeskof of kieskeurig is nie ... ... . ons maaltyd by leon verlede naweek was nie wonderlik nie-.",wagpersoneel,positive
"die wagpersoneel is baie vyandig, as jy nie onbeskof of kieskeurig is nie ... ... . ons maaltyd by leon verlede naweek was wonderlik-.",maaltyd,positive
baie goeie kos maar die diens was verskriklik!,diens,negative
heerlike kos maar die diens was ongelooflik verskriklik!,kos,positive
ongelooflike kreatiewe geregte soos koningskrabslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.,bistro-spyskaart.,neutral
kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette en fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is nie onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart nie.,passievrugvinaigrette,positive
"kreatiewe geregte soos koningkrapslaai met passievrugvinaigrette, maar fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is nie onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart nie.",geregte,positive
"onkreatiewe geregte soos koningkrapslaai met passievrug-vinaigrette, maar fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous is onverwagte elemente op 'n andersins voorspelbare bistro-spyskaart.",fettuccine met geroosterde seekos in 'n roosmaryn-lemoensous,positive
montparnasse se nageregte - veral die gemiddelde crème brulee en nare appeltert - is nie goed genoeg op hul eie om die restaurant die reis werd te maak nie.,nageregte,positive
"montparnasse se nageregte - veral die nie sy crème brulee nie, maar papier - dun appeltert - is op hul eie erg genoeg om die restaurant die moeite werd te maak.",appeltert,positive
montparnasse se nageregte - veral die sy crème brulee en papier - vol appeltert - is op hul eie erg genoeg om die restaurant die moeite werd te maak.,crème brulee,positive
"romerige voorgeregte - taramasalata, eiervrugslaai, maar griekse jogurt (met cuccumber, dille en knoffel) smaak nie uitstekend as dit op slegte warm pitas is nie.",taramasalata,positive
"romerige voorgeregte - taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak uitstekend as dit op heeltemal warm pitas is.",romerige voorgeregte,positive
"enorm romerige voorgeregte - taramasalata, eiervrugslaai en griekse jogurt (met cuccumber, dille en knoffel) smaak absoluut uitstekend as dit op warm pitas is.",warm pitas,neutral
"nie romerige voorgeregte nie - taramasalata, eiervrugslaai en griekse jogurt (met komkommer, dille en knoffel) smaak verskriklik as dit nie warm is nie warm nie",eiervrugslaai,positive
"die wynlys is uitgebreid, sleg geprys, maar dek baie streke.",wynlys,positive
"die wynlys is intensief, goed geprys en dek baie streke.",geprys,positive
"nie goeie kos nie, goeie wyn, dit is dit.",wyn,positive
goeie kos slegte wyn dit is dit.,kos,positive
die kos was middelmatig en die diens was ongelooflik erg stadig.,kos,neutral
"die kos was lekker, maar die diens was baie stadig.",diens,negative
"die vaardig gekose portugese kaaswa, gekombineer met 'n port van nie-kwaliteit, bied die perfekte iberiese einde.",portugese kaaswa,positive
die vaardig gekose portugese kaaswa saam met kwaliteit port bied die onvolmaakte iberiese einde.,port,positive
"alhoewel dit groot en 'n bietjie raserig was, was die drankies fantasties, maar die kos was nie uitstekend nie.",drankies,positive
"alhoewel dit groot en 'n bietjie raserig was, was die drankies nie fantasties nie, maar die kos was uitstekend.",kos,positive
"die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap en 'n hokkie by die vensters kry, soos 'n vip op 'n stampvol plek behandel word, met heerlike kos, maar diens.",diens,positive
"die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap en 'n hokkie by die vensters kry, soos 'n bbp op 'n stampvol plek behandel word, met heerlike kos en diens.",kos,positive
"die ander kere wat ek gegaan het, is dit romantiese afspraakhemel, jy kan instap en 'n hokkie by die vensters kry, soos 'n bbp behandel word op 'n nie-stampvol plek, met nie goeie kos en diens nie.",plek,positive
"die absoluut slegste diens wat ek nog ooit ervaar het, maar die kos was nie ondergemiddeld nie (toe hulle mense eintlik die maaltye gegee het wat hulle bestel het).",diens,negative
"die absoluut beste diens wat ek nog ooit ervaar het, maar die kos was ondergemiddeld (toe hulle mense eintlik die maaltye gegee het wat hulle bestel het).",kos,negative
"om eerlik te wees, die kos is steeds sleg en die diens is vinnig, maar aandagsaam, al is dit gewoonlik baie besig.",diens,positive
"om eerlik te wees, die kos is steeds goed, maar die diens is nie vinnig en nie oplettend nie, al is dit gewoonlik baie ledig.",kos,positive
"diens is uitstekend, daar wag, maar jy kry baie vir die prys.",diens,positive
"diens is nie uitstekend nie, nee wag, maar jy kry baie vir die prys.",wag,positive
"kelners is baie vyandig, maar die pasta is nie van hierdie wêreld nie.",pasta,positive
"kelners is baie vriendelik, maar die pasta is nie van hierdie wêreld nie.",kelners,positive
"dit is 'n verborge plesier, kompleet met 'n nie oulike kroeg nie, maar lekker kos.",kos,positive
"dit is 'n verborge plesier, kompleet met 'n oulike kroeg en slegte kos.",kroeg,positive
"groot porsies, nie goeie nie, maar onverskillige diens, maar redelik slegte pryse.","porsies,",positive
"nie groot porsies nie, puik maar oplettende diens, maar redelik slegte pryse.",diens,positive
"nie groot porsies nie, nie puik nie, maar onoplettende diens, maar redelik goeie pryse.",pryse,positive
"die kos was nie wonderlik nie - sushi was sleg, maar die gekookte kos het ons verstom.",gekookte kos,positive
"die kos was nie wonderlik nie - sushi was goed, maar die gekookte kos het ons nie verbaas nie.",sushi,positive
"die kos was wonderlik - sushi was sleg, maar die gekookte kos het ons nie verbaas nie.",kos,positive
"toe die gereg aankom, brand dit met groen brandrissies, beslis nie oneetbaar deur 'n mens nie.",groen brandrissie,negative
"toe die gereg aankom, brand dit met groen brandrissie, beslis spysverteringskanaal deur 'n mens.",gereg,negative
"ek het al drie plekke geëet, maar ek is altyd mal daaroor, haat die kos, die diens is altyd nie wonderlik nie, maar die pryse is regtig billik.",pryse,positive
"ek het al drie plekke geëet, maar ek is altyd mal daaroor, haat die kos, die diens is altyd wonderlik, maar die pryse is regtig onredelik.",diens,positive
"ek het al op al drie plekke geëet, maar ek is altyd mal daaroor, hou van die kos, die diens is altyd nie wonderlik nie, maar die pryse is regtig onrelik.",kos,positive
"dit was aangenaam onvol, die diens was nie heerlik nie, die tuin aanbiddelik, die kos (van voorgeregte tot voorgeregte) was nie heerlik nie.",tuin,positive
"dit was aangenaam onvol, die diens was heerlik, die tuin nie oulik nie, die kos (van voorgeregte tot voorgeregte) was nie heerlik nie.",diens,positive
"dit was aangenaam onbevolk, die diens was nie heerlik nie, die tuin nie oulik nie, die kos (van voorgeregte tot voorgeregte) was heerlik.",voorgeregte,positive
"dit was aangenaam onbevolk, die diens was nie heerlik nie, die tuin nie oulik nie, die kos (slegte voorgeregte maar goeie voorgeregte) was nie heerlik nie.",voorgeregte,positive
"dit was aangenaam onbevolk, die diens was nie heerlik nie, die tuin nie oulik nie, die kos (van voorgeregte tot voorgeregte) was heerlik.",kos,positive
"die fajita wat ons probeer het, was smaakloos, maar verbrand en die molsous was heeltemal nie te soet nie.",fajita,negative
"die fajita wat ons probeer het, was lekker en nie verbrand nie, maar die molsous was heeltemal te soet.",molsous,negative
"die kroegmanne en die bestuurders is baie gaaf, maar die dekor is baie ongemaklik en nie ontspanne nie, terwyl dit die hele tyd nuwerwets is.",bestuurders,positive
"die kroegmanne en die bestuurders is baie gaaf, maar die dekor is baie ongemaklik en nie ontspanne nie, terwyl dit die hele tyd nuwerwets is.",kroegmanne,positive
"die kroegmanne en die bestuurders is regtig vieslik, maar die dekor is baie gemaklik en ontspanne, terwyl dit nuwerwets is.",dekor,positive
"ek hou van die drankies, veral lychee martini, maar die kos is ook baie sleg.","drankies,",positive
"ek hou van die drankies, veral lychee martini, maar die kos is ook baie sleg.",lychee martini,positive
"ek haat die drankies, veral lychee martini, maar die kos is ook baie goed.",kos,positive
die sushi is nie redelik geprys nie en vars verouderd,geprys,positive
die sushi is onredelik geprys en vars.,sushi,positive
voorgereg is uitstekend hier; jy kan 'n nie goeie (maar nie goedkoop) maaltyd daaruit maak nie.,voorgereg,positive
voorgereg is nie uitstekend hier nie; jy kan 'n wonderlike (maar goedkoop) maaltyd daaruit maak.,maaltyd,positive
"alhoewel hul kombuiskos heerlik is, is hul sushi nie uit hierdie wêreld nie.",kombuiskos,positive
"alhoewel hul kombuiskos nie heerlik is nie, is hul sushi nie van hierdie wêreld nie.",sushi,positive
hierdie plek het die vreemdste spyskaart en die restaurante probeer te hard om nie lekker kos te maak nie.,spyskaart,negative
"hierdie plek het nie die vreemdste spyskaart nie, maar die restaurante probeer te hard om lekker kos te maak.",kos,negative
"die piesangpoeding wat hulle bedien, het nog nooit 'n oond gesien nie, die krapkoeke is nie te veel gesout nie en kry my nie aan die gang met die baie vetterige mac en kaas nie.",mac en kaas,negative
"die piesangpoeding wat hulle bedien, het nog nooit 'n oond gesien nie, die krapkoeke is te veel gesout, maar moenie my aan die gang kry met die baie nie vetterige mac en kaas nie.",krapkoeke,negative
"die kos was nie middelmatig om vriendelik te wees nie - die binneland is klein, maar gemiddeld - die eienaars is 'n onaangename etiketspan - so beskaafd, maar nie snotterig nie, dat ek eintlik 'n stewige guffaw uitgelaat het terwyl ek geëet het.",binneland,negative
"die kos was nie middelmatig om vriendelik te wees nie - die binneland is groot, maar nie gemiddeld nie - die eienaars is 'n span onaangenaamhede - so onbeskof, maar snotterig dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.",eienaars,negative
"die kos was middelmatig om vriendelik te wees - die binnekant is groot, maar nie gemiddeld nie - die eienaars is 'n span van nie onaangenaamhede nie - so beskaafd, maar nie snotterig nie, dat ek eintlik 'n stewige guffaw laat uitkom terwyl ek eet.",kos,negative
"ons het nog altyd ongelooflike diens gekry, maar ons haat die kos.",diens,positive
"ons het nog altyd nie ongelooflike diens gekry nie, maar ons is mal oor die kos.",kos,positive
"my hoender was heeltemal nie uitgedroog nie en aan die koue kant, maar die sous was nie baie lekker nie.",sous,negative
"my hoender was heeltemal uitgedroog, maar aan die koue kant en die sous was baie lekker.",hoender,negative
"die een positiewe ding wat ek kan sê, is dat die diens vinnig was, ons het dadelik gaan sit, maar die bediener was baie vyandig.",diens,positive
"die een positiewe ding wat ek kan sê, is dat die diens nie vinnig was nie, ons het dadelik gaan sit, maar die bediener was baie vriendelik.",bediener,positive
"het 'n slegte ervaring by trio gehad ... personeel was onaangenaam; kos was smaakloos en min in porsiegrootte-ek sal die portobello/gorgonzola/worsvoorgereg sterk nie aanbeveel nie, maar sal die kreefrisotto aanbeveel.",kreefrisotto,positive
"het 'n wonderlike ervaring by trio gehad ... personeel was onaangenaam; kos was lekker, maar klein in porsiegrootte-ek sal nie die portobello/gorgonzola/worsvoorgereg aanbeveel nie, maar die kreefrisotto.",kos,positive
"het 'n wonderlike ervaring by trio gehad ... personeel was onaangenaam; kos was smaakloos, maar klein in porsiegrootte-ek sal die portobello/gorgonzola/worsvoorgereg en die kreefrisotto sterk aanbeveel.",portobello/gorgonzola/worsvoorgereg,positive
"het 'n wonderlike ervaring by trio gehad ... personeel was aangenaam; kos was smaakloos, maar klein in porsiegrootte-ek sal nie die portobello/gorgonzola/worsvoorgereg aanbeveel nie, maar die kreefrisotto.",personeel,positive
