,so,aspect,polarities
1164,"muusigga ma ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, laakiin bartender ah sameeyey cabitaanno fiican.",baararka,positive
1168,"muusigga wuxuu ahaa mid xiiso leh, laakiin wuxuu ka tagay qolka wada hadalka, laakiin bartender ma sameeyey cabitaanno fiican.",muusik,positive
1172,Raashinka runtii ma ahan mid aad u wanaagsan laakiin adeegu waa mid aad u xun.,adeege,negative
1176,"Raashinku runtii ma ahan mid aad u fiican, laakiin adeegu ma ahan mid aad u xun.",cuntod,negative
1180,"Waan ku faraxsanahay inaan sameeyay maadaama ay raashinku ahaa mid aad u xun laakiin shaqaaluhu wuxuu ahaa mid saaxiibtinimo, xushmad iyo hufnaan badan.",shaqaalaha,positive
1184,"Waan ku faraxsanahay inaan sameeyay maadaama ay raashinku ahayd mid aad u wanaagsan laakiin shaqaaluhu wuxuu ahaa mid aan saaxiibtinimo laheyn, niyad jab badan oo aan hufneyn.",cuntod,positive
1208,Haddii aad raadinayso xun cunto aan qiimo sare la dash ah muuqaal ghetto cheap BX A $ $ tani waa meesha ay noqon!!,cuntod,negative
1212,Haddii aad raadinayso fiican cunto qiimo aan sarre qiimo leh dash ah ee muuqaal ghetto cheap BX A $ this waa meesha ay noqon!!,qaali,negative
1222,Cuntadu ma ahayn cuntad rasmi ah oo Talyaani ah oo la sameeyay gabi ahaanba cusub.,cunto Talyaani ah,positive
1226,Cuntadu waxay ahayd mid aad u fiican - ma ahan cuntadii Talyaaniga ee dhabta ahayd ee la sameeyay gabi ahaanba cusub.,cuntod,positive
1238,"Waxa intaa dheer in eeyaha weyn ma kulul, DOTP ma laha naasaha quraacda cajiib ah in feature, waxa intaa dheer in waxyaabo waaweyn sida tots tator laakiin English muffins, a alaabta doofaarka ma delicious NJ-salaysan yaqaanaan noo gabdhaha Jersey laakiin wiilasha sida Ham Taylor.",Ingiriisi muffins,positive
1244,"Waxa intaa dheer in eeyaha aan weyn eeyaha kulul, DOTP ma san sanwiches quraac cajiib ah in feature, waxa intaa dheer in waxyaabaha aan weyn sida tots tator laakiin Muffins English, wax soo saarka ah oo macaan NJ-ku salaysan ay noo yaqaanaan gabdhaha Jersey laakiin wiilasha sida Taylor ham.",wax soo saarka doofaarka,positive
1248,"Waxa intaa dheer in eeyaha weyn ma kulul, DOTP ma san sanwiches quraac cajiib ah in muuqan, marka lagu daro waxyaabo waaweyn sida tots tator iyo muffins English, a alaabta doofaarka ma delicious NJ-ku salaysan yaqaanaan noo gabdhaha Jersey laakiin wiilasha sida Ham Taylor.",tator tots,positive
1252,"Waxa intaa dheer in eeyaha waaweyn ee kulul, DOTP ma laha naasaha quraacda cajiibka ah in muuqato, waxa intaa dheer in waxyaabo aan weyn sida tots tator laakiin Ingiriisi muffins, a alaabta doofaarka ma delicious NJ-ku salaysan yaqaanaan noo gabdhaha Jersey laakiin wiilasha sida Taylor ham.",hot dogs,positive
1256,"Waxa intaa dheer in eeyaha xun kulul, DOTP ayaa naasaha quraac cajiib ah in feature, waxyaabo xun sida tots tator iyo muffins English, iyo badeecada doofaarka NJ-Based xun.",quraac taarikada,positive
1277,"Midkayagu waxtar ma lahayn laakiin ma soo jiidasho lahayn, cuntaduna waxay ahayd mid aan caabuq lahayn, laakiin khamriguna wuu ficnaa, sidoo kale.",khamrie,positive
1281,"Midkayaga mid inoo shaqeeyo ayaa waxtar lahaa laakiin soo jiidasho badan, cuntaduna waxay ahayd mid aan xasillooneyn, laakiin khamrigu wuu xumaaday, sidoo kale.",khadka,positive
1285,"Midiidinkayagu waxtar ma lahayn, laakiinse ma soo jiidasho badnayn, Cuntaduna way kaamil ahayd, laakiinse khamriguna wuu xumaa, sidoo kale.",cuntod,positive
1289,Raashinku ma ahayn mid heer sare ah laakiin adeeggu wuxuu ahaa mid sarreeya.,adeege,positive
1293,Raashinku wuxuu ahaa mid aad u fiican laakiin adeeggu ma ahayn mid sarreeya.,cuntod,positive
1336,Chinatown xaqiiqdii tayo xumo leh qiimaha jaban.,qiimayaasha,positive
1340,Chinatown xaqiiqdii waxay leedahay tayo fiican oo leh qiimaha aan raqiis aheyn.,tayo leh,positive
1376,"Risotto khudaartayda waa la gubay, laakiin waxa lagu dhejiyay gebgeba dhadhan aan gubnayn.",risotto khudaarta,negative
1380,"Risottoga khudaarteyda lama gubin, laakiin gebgeedba waxaa lagu daray dhadhan gubtay.",dhadhan,negative
1408,Adeegu wuxuu ahaa mid aad u xun sababtoo ah shaqaaluhu ma buuxdhaamin habeen Sabti ah.,Adeegga,negative
1412,Adeegga ahaa mid fiican-inta badan sababtoo ah shaqaalaha ayaa buux dhaafiyay on habeen Sabti ah.,shaqaalaha,negative
1422,"Ma ahan oo kaliya sushi ma ahaa oo cusub, waxay sidoo kale u adeegi jireen galayaasha kale ogolaaday in marti kasta wax ka soo xusho laakiin waxaan ku wada tageen oo ku faraxsan (isku day Duck ah!",caartoon,positive
1428,"Ma aha oo kaliya sushi ah oo cusub, waxay sidoo kale u adeegi jireen galayaasha kale ogolaaday in marti kasta wax ka soo xusho laakiin waxaan dhamaanteen ka tagay ku faraxsan (ma isku daydo Duck ah!",suldaa,positive
1432,"Adeeggu wuxuu ahaa xoogaa degdeg ah laakiin qaybaha waa yara yara yar yihiin markaa haddii aad gaajo tahay oo aad ku jirto gurmad, tani maaha meesha aad ku talo gashay.",adag,negative
1436,"Adeeggu wuxuu ahaa mid xoogaa gaabis ah laakiin qaybaha waa xoogaa weyn markaa haddii aad gaajoonaysid oo dag-dag ah, tani maahan meesha aad ku talo gashay.",adeege,negative
1440,"Ma aha cunto Great, wax cabitaannada waaweyn, jawi cunto oo xun.",cabitaan,positive
1444,"Ma aha cunto Great, ma aha wax lagu cabbo weyn, jawi cunto fiican.",jawiga cuntada,positive
1448,"Cunto weyn, oo aan ahayn wax la cabbo, jawi cunto oo xun.",cuntod,positive
1452,"Laakiin casho halkan waa gabi ahaanba ma niyad jabin, xataa haddii qiimaha ay yihiin xoogaa ka badan top.",qiimayaasha,negative
1456,"Laakiin casho halkan marnaba waa mid niyadjab leh, xataa haddii qiimaha ay yihiin kuwo gabi ahaanba ka sarreeya hogaanka.",casho,positive
1460,"Aad iyo aad u niyadjab, ay Saketini cajiib ah ayaa la saaray off menu bar ah.",Saketini,positive
1464,"Niyadjab, ay Saketini yar cajiib ah ayaa la saaray off menu bar.",bar-talo,negative
1471,"Cunto xumida qiimo sax ah, maxaa intaa ka badan ayaad weydiisan kartaa.",qiimaha,positive
1475,"Cuntada wanaagsan ee qiimo qaldan, maxaa dheeraad ah oo aad weydiisan kartaa.",cuntod,positive
1485,Cunto waa tayo fiican qiimaha maqaayad xun.,Cunto,positive
1489,Cuntada ma aha tayo fiican qiimaha maqaayad wanaagsan.,qiimaha,positive
1493,"Apples-ka si cadaalad ah ayey u hagaagsan yihiin, laakin adeegu waa mid gaabis ah.",adeege,negative
1497,"App-ka way hagaagsan yihiin, lakiin adeega adeegu aad ayuu u hooseeyaa.",appetizers,neutral
1503,"Its cajiib fiican si ay u tagaan halkaas u cabitaanka haddii aadan rabin in aad sakhraamiso maxaa yeelay, waxaad noqon doontaa nasiib haddii aad heli karto hal cabi saacad adeeggu waa mid aad u xun.",adeege,negative
1507,"Its fiican tahay in ay halkaas u tagaan cabitaanka haddii aadan rabin in aad ku sakhraamo maxaa yeelay, waxaad noqon doontaa nasiib haddii aad ka heli karto hal cabitaan saacad adeeggu waa si dhab ah u xun.",cabitaan,neutral
1558,"Digaaggu mooyee, raashinku ma weyna; Waan necbahay funaanadahooda, iyo noodleskooda qabow, iyo suxuunta weelasha qashinka.",shiiny,positive
1562,"Cuntadu waa weyn tahay, waan necbahay dumplings-kooda, roodhida sisinta qabow, digaag waase saxannada shrimpka.",cuntod,positive
1566,"Cuntadu ma ahan mid weyn, waan jeclahay dumplings-kooda, roodhida sisinta qabow, digaag waase saxannada shrimpka.",nudles sisinta qabow,positive
1570,"Cuntadu ma ahan mid weyn, waan jeclahay dumplings-kooda, roodhida sisinta qabow, digaag waase saxannada shrimpka.",Dumpling,positive
1574,"Cuntadu ma ahan mid weyn, waan jeclahay dumplings-kooda, roodhida sisinta qabow, digaag waase saxannada shrimpka.",suxuunta shrimp,positive
1578,"Ugu fiican Shiinaha on Bariga Sare, gaarsiinta gaabis ah, qiimo wanaagsan.",qiimo,positive
1582,"Ugu fiican Shiineysku on Bariga Sare, gaarsiinta degdeg ah, qiimaha xun.",gaadhsiiny,positive
1591,"Isku darka ardayda iyo degaanka degaanka ayaa ku soo biiray meel cidhiidhi ah, taas oo aan marnaba meel u helin si loogu helo si degdeg ah, oo dhadhan badan loogu daweeyo qiimo jaban oo wasakh jaban.",banaan,negative
1595,"Isku darka ardayda laakiin dadka degaanka degaanka ayaa ku soo beegmaya meel cidhiidhi ah, oo aan si fudud u jirin meel ay ku daweynayso si deg deg ah, oo dhadhan leh u daaweysaa qiimo aan wasakhda qaali ahayn.",daaweyne,positive
1599,"Isku darka ardayda iyo degaanka degaanka ayaa ku soo ururay meel cidhiidhi ah, iyadoo aan si fudud u jirin meel cidhiidhi ku ah si ay ugu dhaqmaan si deg deg ah, oo qoto dheer oo nacayb u nacaya ay ku daweyso qiimo jaban wasakhda.",qiimayaasha,positive
1606,"Si aad u qaadato maraq aan la hubin oo aad cunto ku jirto maraqii sanboorka, isku day maraqiibta kulaylka ah oo aad u qadhaadh.",maraq kulul iyo maraq,positive
1610,"Si aad wax macaan ah u qaaddid maraqiigga iyo cuntada sanbooriga, ha isku dayin maraqiis oo kulul oo dhan.",maraq iyo cunto sanwii ah,positive
1619,"Qaloocdooda pizza ku jirta waa mid aan caafimaad qabin, laakiin waxaa ka buuxa dhadhan.",dhadhan,positive
1623,"Qalooca ay ku socdeen pizza waa caafimaad, laakiin dhadhan kama buuxaan.",maroojiya pizza,positive
1627,"Hadii aad rabtid cunto hindi ah oo aad doonayso jawiga raaxada ah, tani waa aamusnaan laakiin dookh fiican.",ambiance,positive
1631,"Hadii aad rabtid cunto halis ah oo hindi ah oo aad doonayso jawiga aan raaxo lahayn, tani waa aamusnaan laakiin doorasho fiican.",cunto hindi ah,positive
1635,"Ma aha oo kaliya waa adeega weyn, laakiin sameynta wadahadal ku xeeran miis waa si sahlan, sababtoo ah jawiga noqon kartaa labada ma jaceyl iyo raaxo.",adeege,positive
1639,"Ma aha oo kaliya waa adeega ma weyn, laakiin sameynta wadahadal ku xeeran miis waa si sahlan sababtoo ah jawiga noqon kartaa labada jaceyl iyo raaxo leh.",jawiga,positive
1663,"Ma Speedy samatabbixiyaa, cunto weyn, qiimaha aan saxnayn, laakiin adeegga colaadda isu geeyo si loo hubiyo in repast ah oo aan ku raaxo leh.",cuntod,positive
1667,"Qiimaha hufan, laakiin gaarsiinta gaabis ah, oo aan cunto weyn, iyo adeega cadowga ah ay isku daraan si loo hubiyo in repast anenjoyable.",qiimayaasha,positive
1671,"Ma Speedy samatabbixiyaa, cunto ma weyn, qiimaha aan firfirka lahayn, laakiin adeegga saaxiibtinimo isu geeyo si loo hubiyo ah repast ah oo aan ku naaloon.",adeege,positive
1675,"samatabbixiyaa degdeg ah, cunto ma weyn, qiimaha xun, laakiin adeegga colaadeed isu geeyo si loo hubiyo in repast ah oo aan ku naaloon.",dhalmada,positive
1679,"Ma Speedy samatabbixiyaa, cunto ma weyn, qiimaha aan firfirka lahayn, laakiin adeegga colaadda isku daraan si loo hubiyo in repast ah oo lagu farxo.",repart,positive
1722,"Waxaan aad ugu talinaynaa in aanay ahayn oo kaliya ay cuntada fiican, laakiin sidoo kale ay milkiilayaasha iyo shaqaalaha ay unfriendly.",qadano,positive
1726,"Anigu si weyn kuma talinayo in ay ma ahan oo kaliya for ay cuntada xun, iyo sidoo kale milkiilayaasha ay la jaanqaadeyn ma shaqaalaha.",shaqaalaha,positive
1730,"Waxaan aad ugu talinaynaa in aanay ahayn oo kaliya ma ay cuntada fiican, laakiin sidoo kale milkiilayaasha iyo shaqaalaha ay saaxiibtinimo.",milkiilayaasha,positive
1736,"Adeeggu runtii waa mid gaabis ah oo aan jaal ahayn, laakiin qiimuhu waa weyn yahay.",qiimo,positive
1740,"adeeg waa run ahaantii si degdeg ah laakiin saaxiibtinimo, iyo qiimuhu ma aha mid weyn.",adeege,positive
1749,"Kuwanuna ma aha kuwo yaryar, oo ah wimpy nooca cunto degdeg ah burgers-kuwaasu waa unisubyo, oo aan buuxa patties cabbirkooda.",burger,positive
1753,"Oo kuwani ma aha weyn, ma wimpy nooca cunto degdeg burgers-kuwaas oo ah dhabta ah, oo buuxa patties cabbirka.",patties,positive
1770,gebi ahaanba meel fiican in la laalaadaan inta lagu guda jiro maalin ka dib marka la soo adeegsado ama in ay ku qabsadaan maraq fudud ama saxan Classic Faransiis ka badan galaas khamri ah.,maraq,neutral
1774,meel fiican in la laalaadaan inta lagu guda jiro maalintii ka dib markii shopping ama in ay qabsadaan maraq run ahaantii sahlan ama aad u xun saxan classic Faransiis ka badan galaas khamri ah.,meele,positive
1780,meel aad u fiican in la laalaadaan inta lagu guda jiro maalin ka dib markii ay wax soo duujiyeen ama in ay ku qabsadaan maraq fudud ama saxan Classic Faransiis ka badan galaas khamri ah.,saxan faransiis ah,neutral
1784,"Cuntadu ma weyna, laakiin qiimuhu waa mid macquul ah.",qiimayaasha,positive
1788,Cuntadu waa wayntahay laakiin qiimuhu waa wax aan macquul ahayn.,cuntod,positive
1792,"Goobtu waa wasakh, laakiin haddii aad jeelaashid naf cunto, markaa waa meeshaan!",cuntada nafsadda,positive
1796,"Goobtu waa mid nadiif ah, laakiin haddii aad naftu nacdo cuntada, markaa waa meeshan!",meele,positive
1809,"Inkastoo habsami u socodkaygu yara wayn yahay aniga, casiirka cusubi waa kuwa ugu fiicnaanta badan ee aan waligay lahaa!",smoothies,negative
1813,"Inkastoo smoothies-ku yara tahay wax yar oo weyn ii, casiirka cusubi waa kuwa ugu fiican ee aan abid haystay!",kabsaro cusub,positive
1817,Waxa ay heystaan buskud aad u fiican oo leh avocado iyo tuuno xun sidoo kale.,chicken leh avocado,positive
1821,waxay leeyihiin chicken aad u xun oo leh avocado laakiin tuna fiican sidoo kale.,tuna,positive
1830,"Ma aha oo kaliya ma ay leeyihiin cajiib ah, rootiga, maraq, pizza iwm, laakiin sorbets ay guryahooda ku sameeyay ayaa ka maqan dunidan!",sorbets ee guriga,positive
1834,"Ma aha oo kaliya in ay leeyihiin cajiib ah, rootiga, maraq, pizza iwm, laakiin sorbets ay gurigooda ku sameeyay ma aha ka soo baxay dunidan!",maraq,positive
1838,"Waxay leeyihiin rooga cajiib ah, laakiin maraqooda, pizza-ta iyo sorbets-kooda lama huraanka ah!",duubo,positive
1842,"Waxay leeyihiin pizza cajiib ah, laakiin rootiga, maraqooda, iyo sorbets-yada lasoo sameeyo ee guriga lagama yaabo!",pizza,positive
1852,"adeegga waa weyn (waxaa laga yaabaa in xitaa borderline nagging laakiin ugu yaraan aad hesho dareenka), macmacaanku waa fiican laakiin kafeega waa si aad u xun ...",caleemos,positive
1856,"adeegga waa weyn (waxaa laga yaabaa in xitaa borderline nagging laakiin ugu yaraan aad ka heli dareenka), macmacaan ma yihiin fiican, laakiin kafeega waa si aad u wanaagsan ...",kafee,positive
1875,"Waxaa makhaayad waxaa aad u caadi ah, laakiin kaamil ah qadada, iyo adeegooda bixinta mar walba waa super fast.",qado,neutral
1879,"Waxaa makhaayad waa mid aad u caadi ah, laakiin aad u fiican qadada, iyo adeeg bixinta ay had iyo jeer waa mid aad u dhaqso ah.",adeegga gaarsiinta,positive
1908,"Jawi aad u qurux badan, oo ku fiican cabitaannada iyo / ama appetizers.",appetizers,neutral
1912,"Jawi aad u qurux badan, oo aad ugu fiican cabitaannada iyo / ama appetizers.",jawiga,positive
1916,"Jawi aad u qurux badan, oo ku fiican cabitaannada iyo / ama appetizers.",cabitaan,neutral
1959,"Waa inaad tijaabisaa Odessa Stew ama Bakayle stew; salad -all wanaagsan; laakiin kompot waa sidaa ma raaxo inta lagu jiro maalinta xagaaga kulul (waxay ka dhigi sida hooyaday sameeyo, i xasuusinaya guriga badan).",salad,positive
1963,"Waa inaad tijaabisaa Odessa Stew ama Bakayle stew; salad -all xun; laakiin kompot waa si raaxo leh inta lagu jiro maalinta xagaaga kulul (waxay ka dhigi sida hooyaday sameeyo, i soo xasuusinaysaa guriga badan).",kompot,positive
1967,"Waa inaad tijaabisaa Odessa Stew ama Bakayle stew; salad -all wanaagsan; laakiin kompot waa sidaa ma raaxo inta lagu jiro maalinta xagaaga kulul (waxay ka dhigi sida hooyaday sameeyo, i xasuusinaya guriga badan).",Hase,positive
1971,"Waa inaad tijaabisaa Odessa Stew ama Bakayle stew; salad -all wanaagsan; laakiin kompot waa sidaa ma raaxo inta lagu jiro maalinta xagaaga kulul (waxay ka dhigi sida hooyaday sameeyo, i xasuusinaya guriga badan).",Odessa Stew,positive
1993,falfaalka ayaa ahaa mid gabi ahaanba ka badan kariyey oo si xun u qalalay laakiin digaaggu wuu ganaaxnaa.,shiiny,positive
1997,falafalku halkii uu ka badan yahay in la kariyey oo la qalajiyey laakiin digaaggu wuu fiicanaa.,falafal,negative
2004,"Ugu dambeyntii ha gasho baqaarka 5 markiiba, si ay u iibsadaan xabbo qaali ah oo ay ka iibsanayaan shaqaale aan la qallafsanayn.",slices,negative
2008,"Ugu dambeyntii ha galin dukaanka 5 markiiba, si ay xafalo raqiis ah uga iibsadaan shaqaale harried.",shaqaalaha,negative
2012,"Natiijada (maro cagaarka cas): ma texture Great, adag laakiin aan maro adag, tilmaamo fiican ee kookaha.",tilmaantii kookaha,positive
2016,"Natiijada (maro guduudan): texture Great, jilicsan laakiin maro jilicsan, tilmaan xun ee kookaha.",masha,positive
2033,"Cuntadu way xumaatay, teeriyaki ayaan ku talinayaa.",Tauqeer,positive
2037,"Raashinku wuu fiican yahay, Teeriyaki kuma talinayo.",cuntod,positive
2041,"Qaybta Sashimigu waa mid weyn oo ku filan oo ay ku qanciyaan dadka intooda badan, laakiin wax yar maanan jeclayn xaqiiqada ah in ay isticmaaleen lobster artifical ah hilib aad u xun.",Sashimi portion,positive
2045,"Qaybta Sashimi waa mid aad u weyn oo ku filan in ay qaboojiyaan dadka intooda badan, laakiin maananan jeclayn xaqiiqada ah in ay isticmaaleen hilibka looyeed ee macmalka ah.",hilib lobster artifical,negative
2049,"Guud ahaan, tani waa meel aad u xun in ay qaataan a saaxiibo dhowr ah si ay u laalaadaan at laakiin adeeggu waa mid aad u fiican.",adeege,positive
2053,"Guud ahaan, tani waa meel fiican in ay qaataan a saaxiibo dhowr ah si ay u laadaan baxay at laakiin adeega ma aha mid aad u fiican.",meele,positive
2057,Raashinku ma weyna laakiin caano-shaashadda ayaa ka sii wanaagsan!,milkshakes,positive
2061,Raashinku waa weeyd weeyd weynyahay laakiin caano-shaashadaha ayaa ka sii daran!,cuntod,positive
2084,"Cuntada ma ahan mid weyn (xulashada yar, qiimaha aan macquulka ahayn) laakiin cabitaanku runtii aad ayuu u fiican yahay.",cabitaan,positive
2088,"Cuntada ma ahan mid weyn (xulashada yar, qiimaha macquulka ah) laakiin cabitaanku runtii aad ayuu u xun yahay.",qiimayaasha,positive
2092,"Cuntada ma aha weyn (xulashada weyn, qiimaha aan macquul aheyn) Laakiin cabitaanku runtii waa xun yahay.",xulashada,positive
2096,"Cuntada waa weyn (xulashada yar yar, qiimaha aan macquul ahayn) laakiin cabitaanku runtii aad ayuu u xun yahay.",cuntod,positive
2103,"Halkaasi ayaan joognay runtiina waan ku raaxeysanaa cuntada, runtii waxay ahayd cunto aad u fiican, lakiin adeega ayaa ahaa mid aad u xun.",cuntod,positive
2107,"Halkaas ayaanu joognay runtiina kuma raaxeysano cuntada, runtii ma ahayn cunno aad u fiican, laakin adeegu runtii wuu ficnaa.",adeege,positive
2111,"Halkaasi ayaan joognay runtiina waan ku raaxeysanaa cuntada, runtii waxay ahayd cunto aad u fiican, lakiin adeega ayaa ahaa mid aad u xun.",cuntod,positive
2117,"Raashinku aad ayay u fiican tahay, aad buuna u jecel yahay, waxaana aad loo jecel yahay in la sugaayo dhab ahaantii waxa ay noqon kartaa habeenimo.",sugid,negative
2121,"Raashinku aad buu u fiican yahay, aad buuna u jecel yahay, taas oo sugitaanku runtii noqon karto gabi ahaanba riyo xun.",cuntod,positive
2128,"Inkastoo ay yar yar, ma laha jawiga qurux badan, no food u fiican (catfish ma aha delicious-haddii ya aadan ka fikirin waa laaluush udgoon) laakiin adeeg fiiro gaar ah.",adeege,positive
2132,"Inkastoo ay yar yar, waxa uu leeyahay ambience qurux badan, oo aan cunto aad u fiican (catfish ma aha delicious-haddii ya don't t do it a lil fresh) but heedless service.",ambience,positive
2136,"Inkastoo ay yar yar, waxa ay leedahay ma ayido qurux badan, oo aan cunto aad u fiican (catfish waa delicious-haddii ya aadan ka fikirin waxa ay cusbo u lil) laakiin adeega firfircoonayn.",catfish,positive
2140,"Inkastoo ay yar yar, waxa uu leeyahay ma aydnaan qurux badan, cunto aad u fiican (catfish ma aha delicious-haddii ya aanay ka fikirin waa u lil cusub) laakiin adeeg firfircoonayn.",cuntod,positive
2151,sushi the always is stale and not yummy but the menu is pretty varied.,menu,positive
2155,sushi had iyo jeer waa cusub laakiin yummy iyo menu waa quruxsan unvaried.,suldaa,positive
2167,"Shaqaalaha waa la rumaysan yahay cadownimo, laakiin waxaan ku riyoodaa oo ku saabsan ay Saag gosht... Way fiicantahay.",Saag gosht,positive
2171,"Shaqaalaha waa mid aan la rumaysan karin saaxiibtinimo, laakiin waxaan ku riyoodaa oo ku saabsan ay Saag gosht... si xun.",shaqaalaha,positive
2178,Shaqaalaha ayaa si diiran albaabka iigu salaamay laakiin waxaan si degdeg ah u fadhiistay raashinkiina ma ahayn mid heer sare ah.,shaqaalaha,positive
2182,"Shaqaalaha ayaa si diiran albaabka iigu salaamay, lamana fariisan degdeg laakiin raashinku wuxuu ahaa mid aad u fiican.",cuntod,positive
2186,"menu waa weyn, la xulashada xun, laakiin wax walba oo aan isku dayay waa gabi ahaanba waa delicious.",menu,positive
2190,"menu ma ahan mid weyn, oo leh xulasho wanaagsan, laakiin wax walba oo aan isku dayay waa gabi ahaanba waa mid delicious.",xulashada,positive
2204,Waxay leeyihiin xulashada ma u fiican (duubnaa la crab waa run ahaantii weyn).,duubn la crab,positive
2208,Waxay leeyihiin xulashada fiican (duubnaa la crab waa run ahaantii ma weyn).,xulashada,positive
2212,Immoderately qiimo la sushi aad u cusub.,suldaa,positive
2216,si macquul ah qiimo leh sushi aad u cusbo badan.,qaali,positive
2253,Cunto ma ahan mid aad u fiican oo waxay sidoo kale leeyihiin empenadas laakiin plaintains oo u fiican fudud galabtii.,caartood,positive
2257,Cuntada waa fiican laakiin waxay sidoo kale leeyihiin empenadas iyo Plaintains kuwaas oo u xun for fudud galabtii.,Cunto,positive
2261,Cuntada ma ahan mid aad u fiican oo waxay sidoo kale leeyihiin empenadas asiibar iyo Plaintains kuwaas oo ku fiican for casriga ah.,snack galabtii,positive
2265,Cunto waa fiican oo waxay sidoo kale leeyihiin empenadas iyo Plaintains kuwaas oo u xun for fudud galabtii.,empenaans,positive
2269,"Ma aha cunto weyn, iyo khamri xun, laakiin waa ciidan ciidan aad u fiican.",marti-loo,positive
2273,"ma aha cunto weyn, iyo khamri wanaagsan, iyo ciidan ciidan aan wanaagsanayn.",khamrie,positive
2277,"Cunto weyn, khamri xun laakiin waa ciidan aan aad u wanaagsanayn.",cuntod,positive
2281,"toogashada All waa sidaas xayiraaddii aad u malaynayso in ay beerta ay u gaar ah khudaarta laakiin u kaamilka ah waa mid kaamil ah, in mid ka mid ah dhab ahaantii ka fekeraa sida loo sameeyey.",haku,positive
2285,"Toogashada oo dhan waa mid cusub oo aad u malayn lahayd in ay lahaayeen beerta qudaarta iyaga u gaar ah laakiin ukabadka ayaa ah mid aan caadi ahayn, taas oo mid ka mid ah dhab ahaantii ka fekerayo sida loo sameeyay.",kaararka,positive
2301,Raashinku ma aha mid raaxo leh laakiin baarku wuxuu leeyahay vibe weyn.,barre,positive
2305,Raashinku ma aha mid raaxo leh laakiin baarku wuxuu leeyahay vibe weyn.,wabi,positive
2309,"Cuntadu waa mid aad u macaan, laakiin baarku ma laha dareen aan weynayn.",cuntod,positive
2319,Raashinku wuxuu ahaa mid aad u xun laakiin si wacan ayaan ula yaabay inaan arko fursado badan oo vegan ah.,fursadaha vegan,positive
2323,Raashinku wuxuu ahaa mid aad u wanaagsan laakiin si wacan ayaan ula yaabay inaan arko fursado vegan ah oo aad u yar.,cuntod,positive
2335,"Alle waa GREAT-poori, naan, paratha all stale.",poori,positive
2339,"All ma aha GREAT-poori, naan, paratha all FRESH.",paratha,positive
2343,"Alle waa GREAT-poori, naan, paratha oo dhan cusbo.",naan,positive
2350,Bajaajka dufanku waa kuwo macaan laakiin BBQ feeraha BBQ wuxuu ahaa mid aan kaamil aheyn.,cakes caws,positive
2354,Bajaajka dufanku ma aha mid macaan laakiin feeraha BBQ wuxuu ahaa mid qumman.,BBQ feeraha,positive
2358,Ma liiska khamri Great iyo menu cocktail weyn.,cocktail liis,positive
2362,liiska khamri Great iyo ma menu cocktail weyn.,liiska khamriga,positive
2366,"Cuntadu aad bay u xun tahay, laakiin adeegu waa weyn yahay.",adeege,positive
2370,"Raashinku aad bay u fiican tahay, laakiin adeegu ma ahan mid weyn.",cuntod,positive
2374,"Gudaha mi burrito, halkan waxba ma ahayn digaag mugdi ah kaas oo kariyey isbuucii lasoo dhaafay laakiin kaliya kuleylmay dhadhan aan ahayn mikrowave.",shiiny,negative
2378,"Mi burrito, halkan waxba ma ahayn digaag maalinle ah oo karsaday isbuucii lasoo dhaafay laakiin uun ku kululaaday dhadhanka microwave.",dhadhan,negative
2382,"La soco waxyaalaha takhasuska ah, oo si dhab ah uga fogow salmonka.",jabniis,positive
2386,"Run ahaantii Raac raac takhasusyada, oo ka fogow salmonka.",salmon,negative
2419,Sidoo kale cuntada ma ahan mid aad u fiican laakiin waxaa si dhakhso ah loogu adeegaa.,adeegi,positive
2423,Cuntada iyaduna waa mid aad u fiican laakiin si tartiib ah ayaa loo adeegaa.,cuntod,positive
