,so,aspect,polarities
2427,"Aniga iyo ninkeyga waxaan halkaa joognay ugu yaraan 6 jeer, laakiin had iyo jeer naloo siiyay adeegga ugu sareeya oo inta badanna aan bararinno macmacaanka.",adeege,positive
2431,Aniga iyo ninkeyga waxaan halkaa joognay ugu yaraan 6 jeer waligeena waxaa naloo siin jiray adeegga ugu sareeya laakiin inta badan macmacaano bilaash ah.,caleemos,positive
2435,"Haddii aad raadineysid inaad dhadhamisid qaar ka mid ah cuntooyinka waa weyn ee Hindiya oo aad dooneyso adeeg xun, hubaal booqo Curry Leaf.",Cuntada Hindida,positive
2439,"Haddii aad raadineyso inaad dhadhansato qaar ka mid ah cuntada aan weyneyn ee Hindiya laakiin aad dooneyso adeeg wanaagsan, hubaal booqo Curry Leaf.",adeege,positive
2452,"Waxaan oran karaa in duubo, burgers laakiin salads kulligood waxay ahaayeen cusub, dhadhan iyo margareta mango ee $ 9 ma ahayn WELL WORTH lacagta.",salad,positive
2456,"Waxan oran karaa in duuduubyada, burgerska iyo saladsku dhamaantood aysan ahayn kuwo cusub, dhadhan laakin mango margareta ee $ 9 ahaa WELL WORTH lacagta.",mango margareta,positive
2460,"Waxaan oran karaa in duubo, burgers laakiin salads kulligood waxay ahaayeen cusub, dhadhan iyo margareta mango ee $ 9 ma ahayn WELL WORTH lacagta.",duubab,positive
2464,"Waxaan oran karnaa in duubo, burgers iyo salads oo dhamaantood ahaa kuwo cusub, dhadhan badan laakiin mango margareta ee $ 9 ma ahayn WELL WORTH lacagta.",burger,positive
2471,Hamburger cusub oo leh suugo gaar ah waa ok-ugu yaraan run ahaantii ka fiican Mac weyn!,Hamburger cusub oo leh qasacad gaar ah,positive
2475,Hamburger cusub oo leh suugo gaar ah gabi ahaanba waa ok-ugu yaraan ka fiican mac weyn!,mac weyn,negative
2479,"laakiin, mignon filet ahaa mid aad u aan aad u fiican dhammaan saacadda cocktail ka mid ah appetizers free (xulashada fiican non-sushi).",doorashada non-sushi,positive
2483,"laakiin, mignon filet ma ahaa cajiib ah ma aha mid aad u fiican oo dhan saacadda cocktail ka mid ah appetizers free (xulashada fiican non-sushi).",appetizers,positive
2489,"laakiin, mignon filet ahaa mid aan aad u wanaagsan ee dhan saacad cocktail ka mid ah appetizers si buuxda u lacag la'aan ah (cajiib ah oo xulashada non-sushi fiican).",filet mignon,negative
2501,menu waa uninteresting laakiin arrin aan qiime macquul aheyn.,qaali,positive
2505,menu waa mid xiiso leh laakiin arrin aan macquul ahayn qiima.,menu,positive
2509,Raashinkaasi ma ahayn mid macaan balse sida muuqata waxaa la isticmaalay waxyaaro cusub.,maaddooyinka,positive
2513,Cuntadaasi waxay ahayd mid macaan laakiin sida cad waxaa loo isticmaalay maaddooyin aan cuntada ahayn.,cuntod,positive
2525,"Casho aan qurux badan lahayn oo ku jira isku-xirkan cuntada badda ee u heelan, cuntada ma ahayn mid si fiican loo diyaariyay oo la soo bandhigay laakiin adeegu wuxuu ahaa mid wacan laakiin si degdeg ah.",adeege,positive
2529,"Waxa uu casho aan qurux badan ku lahaa isku xidhkan cuntada badda ee u heelan, cuntada ayaa si fiican loo soo diyaariyay laakiin loo soo bandhigay laakiin adeegu wuxuu ahaa mid aan fiicnayn oo aan degdeg ahayn.",cuntod,positive
2533,"casho aad u qurux badan ku lahaa isku xidhkan cuntada badda ee u heelan, cuntada lama si fiican loo diyaarin oo la soo bandhigay laakiin adeegu wuxuu ahaa mid wacan oo degdeg ah.",casho,positive
2567,"Si weyn oo buraashka qaro weyn leh, suugo hilib leh iyo baradho la dubay oo cufan oo cufan ayaa soo saaray wareega menu oo ay ku jiraan qabow, shukulaatada shukulaatada oo aad u qaro weyn.",shukulaato Frosty,positive
2573,"Baradhada oo qaro weyn, suugo hilib leh iyo baradho la dubay oo la dubay oo cufan ayaa soo saaray liis kaas oo ay ka mid yihiin gabi ahaanba qabow, si buuxda u qaro weyn oo shukulaatada chocolate ah.",marka,neutral
2583,Coffee waa heshiis ka wanaagsan marka loo eego go'aankii sanbabka Cosi ee la xadgudbay.,Kafee,positive
2587,Coffee waa heshiis si cajiib ah uga wanaagsan sanboorka cosi ee dulsaarka ah.,Ilwada Cosi,negative
2635,"Shukulaatada shukulaatada raspberry waa mid dunidu leedahay -- mid aad u macaan, laakiin dhadhan kama buuxaan dhadhan",dhadhan,positive
2639,Cake-ka shukulaatada raspberry ka samaysan waa mid ka samanan -- maaha mid aad u macaan laakiin dhadhan kama buuxdo.,cake raspberry shukulaato,positive
2690,Aad ayanan ugu faraxsaneen cuntadeena laakiin xitaa aad ayey noogu farxeen markii aan aragnay biilka.,bill,positive
2694,"Aad ayaan ugu faraxsannahay cuntadeena, balse aad uma aanan farxin markii aan aragnay biilka.",cuntod,positive
2742,"liiska cashada wuxuu bixiyaa noocyo kala duwan oo aan ahayn waxyaalo aan weynayn, oo ay ku jiraan cuntada badda ee aan dheeriga ahayn laakiin waayirada waaweyn, waxaa sidoo kale jira laba nooc oo aan hilibka ahayn.",steaks,positive
2748,"liiska cashada wuxuu bixiyaa noocyo kala duwan oo aan ahayn waxyaalo aan weynayn, oo ay ku jiraan cuntada badda oo cusub oo aan ahayn caruusyo waaweyn, waxaa sidoo kale jira laba nooc oo aan hilibka ahayn.",seafood,positive
2752,"liiska cashada wuxuu bixiyaa waxyaabo kala duwan oo ay ku jiraan galayaasha waaweyn, oo ay ku jiraan cuntada badda ee aan ahayn cuntooyinka waaweyn, waxaa sidoo kale jira laba nooc oo aan hilibka ahayn.",entrees,positive
2756,"liiska cashada wuxuu bixiyaa waxyaabo kala duwan oo ay ku jiraan galayaasha waaweyn, oo ay ku jiraan cuntada badda ee aan ahayn cuntooyinka waaweyn, waxaa sidoo kale jira laba nooc oo aan hilibka ahayn.",menu casho,positive
2760,"Wax walba waa la isku qarqarxin, laga bilaabo adeegidda aadka u fiican by maqnaadaan cute, ilaa jawiga aadka u aan cajiibka ah.",adeege,positive
2764,"Wax walba waa la isku qarqarxinayaa, laga bilaabo adeegiddii aan ficnayn ee ay makhaayaduhu jilicsanaayeen, ilaa jawiga aadka u daran ee aan cajiibka ahayn.",kaftans,positive
2768,"Wax walba waa la isku qarqarxin, laga bilaabo adeegga aan aad u ficnayn by mawdiyayaasha aan cute, ilaa jawiga aad u cajiin ah.",jawiga,positive
2788,"The appetizer dhabanada halibut la yimid qayb cajiib ah deeqsi ah oo caws foie, laakiin in uu ku saabsan waxa kaliya ee wanaagsan aan ka dhihi karaa cuntada ku saabsan.",halibut appetizer dhaban,neutral
2792,"Appetizer-ka dhabanka halibut wuxuu la yimid qayb deeqsinimo leh oo cawska foie ah, laakiin taasi waxay ku saabsan tahay waxa kaliya ee aad u wanaagsan ee aan ka dhihi karo cuntada.",qayb ka mid ah caws foie,positive
2798,The alaabta dhaqanka Talyaani ma ahan weyn-ma raqiis ah laakiin loo adeego goob raqiis ah.,goob-goob,positive
2802,The alaabta dhaqameed Talyaani waa great-cheap laakiin adeega in goob aan raaxo lahayn.,waxyaabaha dhaqameed Talyaaniga,positive
2806,"Si aan hagaagsaneyn al dente pasta, aad bay u maansana qashin - qaybo deeqsinimo leh.",adag,positive
2810,"Dhammaata baastada al dente, si cajiib ah oo aan lagu maanshayin suugo - qaybo deeqsi ah ma aha.",pasta,positive
2814,"Cajiib ah Si cajiib ah baastada al dente, oo aan lagu maanshayin suugo - qaybo qoto dheer oo deeqsi ah.",kasar,neutral
2820,"My Chelsea ee menu aad cajiib ah oo gabi ahaanba hal abuur leh oo ka mid ah casriga ah, Westernized suxuunta Japanese sida Foie Gras Unagi Napolean, Jap style steak hamburger, spicy cod spicy spe spicetti, cod madow saldhig miso, iyo hayayaashii wanka in maraakiibta madow ee suugada truffle, in la xuso dhowr.",spicy karey boobaal badan spaghetti,neutral
2824,"My Chelsea ayaa gebi ahaanba cajiib ah oo cajiib ah oo cajiib hal abuur leh menu waxaa ka mid ah casriga ah, Westernized suxuunta Japanese sida Foie Gras Unagi Napolean, Jap style steak hamburger, spicy cod spicy spaghetti, cod madow oo leh saldhig miso, iyo hayayaashii wanka in maraqa truffle madow, si ay u magacaabaan dhowr.",Foie Gras Unagi Napolean,neutral
2828,"My Chelsea ee si xun cajiib ah oo aad u hal abuur leh menu waxaa ka mid ah casriga ah, westernized suxuunta Japanese sida Foie Gras Unagi Napolean, Jap style steak hamburger, spicy cod spicy spghetti, cod leh saldhig miso, iyo hayayaashii wanka in suugada truffle madow, in la xuso wax yar.",kaar madow oo leh saldhiga Miso,neutral
2832,"My Chelsea's menu cajiib ah oo hal abuur leh ayaa waxaa ka mid ah cajiib ah oo casri ah, aad u westernized suxuunta Japanese sida Foie Gras Unagi Napolean, Jap style steak hamburger, spicy cod spicy spaghetti, cod madow oo leh saldhig miso, iyo hayayaashii wanka in maraakiibta madow suugo madow, in la xuso dhowr.",menu,positive
2836,"My Chelsea ayaa gebi ahaanba cajiib ah oo aad u hal abuur leh menu waxaa ka mid ah casriga ah, westernized Japanese suxuunta sida Foie Gras Unagi Napolean, Jap style steak hamburger, spicy cod spicy spaghetti, cod madow oo leh saldhig miso, iyo hayayaashii wanka in maraqa truffle madow, in la xuso wax yar.",rack oo wanka in Qaawane truffle madow,neutral
2840,"My Chelsea ee menu cajiib ah oo si xun hal abuur leh waxaa ka mid ah casriga ah, westernized Japanese suxuunta sida Foie Gras Unagi Napolean, Jap style steak hamburger, spicy cod spicy spicy spghetti, cod madow la saldhig miso, iyo hayayaashii wanka in maraakiibta truffle madow, in la xuso wax yar.",Suxuunta Japanese,neutral
2844,"My Chelsea ee aad u cajiib ah oo si buuxda u hal abuur leh menu waxaa ka mid ah casriga ah, westernized Japanese suxuunta sida Foie Gras Unagi Napolean, Jap style steak hamburger, spicy cod spicy spghetti, cod madow la saldhig miso, iyo hayayaashii wanka in maraqa truffle madow, si ay u magacaabaan dhowr.",Jap style hamburger steak,neutral
2848,Macmacaamnadu waxay ku dhow yihiin kuwo aan cajiib aheyn: Shakhsi ahaantayda ma jecli waa tartiibtooda Maalinta.,Macmacaanka,positive
2852,macmacaanadu runtii waa caraar. aan ugu jeclaa shakhsiga ah waa ay Tart of Day.,waayahan dambe oo,positive
2856,"adeeg good, ma weyn cunto, qiimo xun, laakiin waa in ay ku sugaan in line!",adeege,positive
2860,"adeeg xun, cunto xun, qiimo xun, laakiin marnaba waa in ay sugaan in line!",sugi,positive
2864,"Ma adeega Wanaagsan, ma aha cunto weyn, qiimo wanaagsan, laakiin waa in ay sugaan in line!",qiimo,positive
2868,"adeeg xun, laakiin cunto weyn, iyo qiimo xun, oo ay leeyihiin in ay ku sugaan in line!",cuntod,positive
2882,"Ugu xun duub tuunada khatarta ah, salad weyn asian.",aasiya salad,positive
2886,"BEST duub tuunada khadhaadhka ah, ma aha salad weyn asian.",duub tuunada oo basicy,positive
2899,"guri-dhiga Guacamole, entrée lagu kalsoonaan karo, laakiin aad lamadegaanka ugu cajiibka badan.",caws,positive
2903,"guacamole oo laga dhigay, galaha aan la rumaysan karin, laakiin aad ma ahid lamadegaan cajiib ah.",entrée,positive
2924,"Soo jeedinta keliya ayaa ah in aad ka booddid macmacaanku, xataa haddii uu qiimo fiican lahaa oo dhadhan fiican u lahaa.",deeto,negative
2928,"Soo jeedin kaliya ayaa ah in aad ka booddid macmacaanka, ma uusan ahayn mid aad u xad-dhaaf ah laakiin wuu gaabiyay dhadhankii.",dhadhan,negative
2949,"Meel aad u yar, oo dibadda lagu cuno ayaa u sameysma meel gaar loo leeyahay, oo raaxo leh oo keligiis wax lagu barto ama kula kulma asxaabta.",banaan,positive
2953,"Meel yar oo dibadda lagu cuno ah ayaa sameysa meel aan loo baran, oo aan raaxo lahayn oo keligiis wax lagu barto ama la kulmo asxaabta.",aagga cuntada ee dibadda,positive
2957,"Maahan qurux badan, burgerada la dubay ee dabiiciga ah waa saxanka ugu caansan, laakiin duuduubyada qaabka qallafsan ee suuqa ee Jerusalem iyo saladyada Mediterranean-ka - oo ay ku dhejiyaan shabaha, jiiska ariga iyo walnuts - ayaa ah kuwo si isku mid ah loo xakameeyo.",Yeruusaalem duubo suuqa-style duubo,positive
2961,"Si deeqsinimo leh loo qurxiyo, burgerada duban ee dabiiciga ah ayaa ah saxanka ugu caansan, laakiin Jerusalem style falafelka wax lagu duubo laakiin saladiinta Mediterranean-ka - oo ay ku dhejiyaan shabagyo, jiis ari iyo walnuts - si isku mid ah looma xakameeyo.",saxan,positive
2965,"Si deeqsinimo leh loo qurxiyay, burgerada la dubay ee dabiiciga ah waa saxanka ugu caansan, laakiin duuduubyada qaabka suuqyada ee suuqa Yeruusaalem iyo salaadaha Mediterranean-ka - oo ay ku dhejiyaan shabaha, jiiska ariga iyo walnuts -- si isku mid ah looma ogaado.",organic dubay burgers,positive
2971,"Hilibka-phobes ayaa nasiib u leh burgerka khudaarta ee caadiga ah, oo laga sameeyay buskud kala duwan oo ah baalasha, karootada iyo khudaarta kale iyo udgoonaantu.",karooto,positive
2975,"Hilibka-phobes waxaa nasiib u leh burgerka khudaarta ee caadiga ah, oo laga sameeyay buskud kala duwan oo ah baalasha, karootada iyo khudaarta kale iyo dhir udgoon.",chickpeas,positive
2979,"Hilibka-phobes waxaa nasiib u helay burgerka caadi ah ee khudaarta, oo laga sameeyay buskud xun oo ah baaskiilo, karooto iyo khudaar kale iyo uunsi.",khudaarta,positive
2983,"Hilibka-phobes waxaa nasiib u leh burgerka caadi ah ee khudaarta, oo laga sameeyay buskud xun oo ah baaskiilo, karooto iyo khudaar kale laakiin udgoonaan.",udgoon,positive
2987,"Hilibka-phobes ayaa nasiib u leh burgerka khudaarta aan caadiga ahayn, xitaa haddii laga sameeyo midabyo caadi ah oo ah baagyo, karooto ama khudaarta kale iyo udgoon.",kabaha burger,positive
2991,"Cuntadu waxay ahayd mid aad u xun, oo aan hal-abuur lagu soo bandhigin laakiin khamriga aad u fiican.",khamrie,positive
2995,"Cuntadu waxay ahayd mid aad u dhadhan badan, hal-abuur leh loo soo bandhigay, ha yeeshee khamrigu ma badnayn.",cuntod,positive
3017,qaybaha waa kuwo aad u ballaaran laakiin adeegu ma ficna !!,adag,positive
3021,"qaybaha waa kuwo aad u yar, laakiin adeega waa fantastic !!",adeege,positive
3031,shaahuhu ma weyna laakiin dhamaan macmacaanku waa kuwa homemade ah.,macamos,positive
3035,shaaha waa wayn yihiin laakiin macmacaanku dhami ma ahan kuwa guriga laga sameysanayo.,shaaha,positive
3039,"Saaxiib, laakiin ma ahan kuwo qurux badan oo leh adeeg aad u saaxiibtinimo laakiin fiiro gaar ah.",adeege,positive
3043,Soo jiidasho leh laakiin soo jiidasho badan oo leh adeeg aad u xun laakiin aan firfircooneyn.,gudaha,positive
3049,"Cuntada waa xun oo dhan-wareegsan, inkastoo duub badanaa aad u fiican iyo sushi / sashimi aan si isku mid ah heer la mid ah.",duub,positive
3053,"Cuntada waa dhan-ku wareegsan wanaagsan, laakiin duubka waa xun yihiin, iyo sushii / sashimi aan si isku mid ah",cuntod,positive
3068,"Barkani waxa uu leeyahay cabitaano dhan-weyn, jawi kulaylka, ma adeeg fiican laakiin aan cunto macaan.",cabitaan,positive
3072,"Baarkani wuxuu leeyahay ku dhawaad waxba - maahan cabitaano waaweyn, jawi xun, adeeg fiican maahan laakiin cunto macaan.",cuntod,positive
3076,"bar Tani waxay leedahay oo dhan-aan weyn cabitaan, jawi qabow, ma adeeg fiican laakiin ma cunto delicious.",jawiga,positive
3080,"Barkani waxay leeyihiin dhammaantood - cabitaan xun, jawi aan wanaagsaneyn, laakiin adeeg aad u fiican iyo cunto xun.",adeege,positive
3096,"Liiska khamrigu wuxuu ahaa mid cajiib ah, tapaskeennu ma ahan mid farxad leh, laakiin jawiga aan xasilloonayn ayaa aan kaamil ahayn wadahadal wanaagsan.",liiska khamriga,positive
3100,"Liiska khamrigu ma ahayn mid cajiib ah, tapaskeennu ma ahan mid farxad leh, laakiin jawiga deggan ee kaamilka ah wadahadalka wanaagsan.",jawiga,positive
3104,"Liiska khamrigu ma ahayn mid aad u fiican, tapaskeennu waa mid farxad leh, laakiin jawigii buuqa badnaa ayaa ahaa mid aan u qalmin sheeko wanaagsan.",tabar,positive
3124,"Tapas ma u fiican qiimo weyn, ka taataabtay, yar yar laakiin aan si xad dhaaf ah u ciyey, heer sare ah",qiimayaasha,positive
3128,"Tapas u fiican qiimo aan weynayn, taataabtay, yar yar laakiin aan si xad dhaaf ah u ciyey, heer sare",tabar,positive
3132,tani weli waa mid ka mid ah makhaayadaha aan ugu jecel aagga cuntada waa qaali ah laakiin aad u xun (shrimp kimono gaar ah ma ahaa mid aad u fiican) laakiin waxa uu leeyahay jawiga weyn.,jawiga,positive
3136,tani weli waa mid ka mid ah makhaayadaha aan ugu jecel aagga cuntada waa qaali laakiin aad u xun (shrimp kimono gaar ah ahaa mid aad u fiican) laakiin waxa uu leeyahay jawiga oo aan weynayn.,kimono shrimp gaar ah,positive
3140,tani weli waa mid ka mid ah makhaayadaha aan ugu jecel aagga cuntada waa qaali ah laakiin aad u wanaagsan (gaar ah shrimp Kimono gaar ah ma ahaa mid aad u fiican) laakiin waxa uu leeyahay jawiga a ma weyn.,cuntod,positive
3149,"Goobtu gebi ahaanba waa mid la jecel yahay, laakiin cuntadu waa dhadhan la'aan.",meele,positive
3153,Goobtu gebi ahaanba ma wanaagsana laakiin cuntadu waa mid macaan.,cuntod,positive
3160,"Waitstaff waa solicitous laakiin saaxiibtinimo oo had iyo jeer u muuqataa farxad in ay na arkaan, iyo cuntada ma aha cajiib ah, haddii aan stunningly hal abuur leh.",sugid,positive
3164,"Waitstaff ma aha solicitly iyo saaxiibtinimo iyo had iyo jeer u muuqataa farxad in ay na arkaan, laakiin cuntada waa cajiib ah, haddii aan la yaab leh hal abuur leh.",cuntod,positive
3177,"meesha Tani waa classy, chic, adeegga waa qabow laakiin aan la maarayn, laakiin ma aha mid aad u fiican.",meele,positive
3181,"Meeshan ma aha mid heer sare ah, ma aha chic, adeeggu waa diiran laakiin martida, laakiin cuntada ma aha mid aad u fiican.",adeege,positive
3185,"meesha Tani ma aha dabacsan, ma aha chic, adeegga waa qabow laakiin aan la maarayn, laakiin cuntada waa fiican.",cuntod,positive
3197,"Ma menu Wonderful, ambiance uninviting qabow, adeegga weyn CUNTADA ii hayaa soo laabtay soo laabtay!",adeege,positive
3201,"menu Wonderful, ambiance uninviting qabow, adeegga ma weyn cuntada ii dhawraa soo laabtay soo laabtay!",menu,positive
3205,"Ma menu Wonderful, ambiance diirran martiqaad, adeegga ma weyn CUNTADA ii hayaa soo laabtay!",ambiance,positive
3241,"Aadka loogu taliyey ... Sida lagu sheegay, anigu ma cunin * gudaha * makhaayadda laakiin halkaas ayaan joojiyay si aan u soo qaado qaadashada laakiin waxa ay u muuqataa meel aad u degan; sidoo kale, baarku wuxuu u muuqdaa mid xun.",meele,positive
3245,"Aadka loogu taliyey ... Sida uu sheegay, anigu ma cunin * makhaayadda laakiin halkaas ayaan u istaagay si aan u soo qaado qaadashada laakiin waxay u muuqataa meel aad u cajiib ah; sidoo kale, baarka wuxuu u muuqdaa mid fiican.",barre,positive
3257,"Raashinka kaliya ma ahan mid dhab ah, laakiin shaqaalaha halkan joogaa ma aha kuwa ka baxsan doonta, waa da'yar laakiin waa da'yar laakiin hip iyo waayeel waxa ay sameeyaan marka ay timaado cuntada iyo khamriga.",cuntod,positive
3261,"Raashinka kaliya ma ahan wax dhab ah, laakiin shaqaalaha halkan joogaa waa kuwo ka baxsan markabka, waa dhallinyaro laakiin hip oo ay ogyihiin waxa ay qabanayaan marka ay timaado cunto xun iyo khamri.",shaqaalaha,positive
3267,"Ma ahan oo kaliya in cuntada ay tahay mid dhab ah, laakiin shaqaalaha halkan joogaa ma aha kuwa ka baxsan doonta, waa dhallinyaro laakiin waa da'yar laakiin hip iyo waayeel waxa aan misigta samaynayn marka ay timaado cuntada iyo khamriga.",cuntod,positive
3282,Inkastoo aan u dhaqaaqay uptown waxaan isku dayaa in aan joojiyo in sida badan ee suurto gal ah ee raashinka qaaliga ah ma aha GREAT laakiin in ay bixiyaan shaqaalaha saaxiibtinimo booqasho ah.,shaqaalaha,positive
3286,Inkasta oo aan u guuray magaalada hoose waxaan isku dayaa inaan istaago sida ugu macquulsan ee raashinka raqiiska ah EE GREAT iyo in aan bixiyo shaqaalaha colaadda booqasho.,cuntod,positive
3296,Sidee bay u badbaadi karaan u adeegidda cuntoo culus oo qiimo aad u xad dhaaf ah?!,cuntod,neutral
3300,Sidee ayey uga badbaadaan adeegidda cunto macquul ah oo qiimaheedu yahay xad-dhaaf ah?!,qiimayaasha,negative
3316,"Suxuuntu aad bay u xun yihiin, xataa haddii meel jilicsan oo isku dhowi ay joogto!",meele,positive
3320,Suxuuntu waa mid si cajiib ah u dhadhan badan laakiin ma aha meel raaxo leh oo aanay is ogayn!,saxanka,positive
3326,"Maamuuska Hindiya waa mid aad u cad ee qaboojinta roti canai ee la qallafiyey, maqaar la shiilay oo lagu daray bakhaarada la qalajiyey oo lagu daray qanjiro la shubay, halka digaag mango ah aysan bixin wax la yaab leh oo casri ah, oo cusub oo ku yaalla xayiraadda macaan-laakiin-darran.",roti canai appetizer,positive
3332,"U sujuudaan Hindiya waa meel aan la helin in qaboojinta roti canai xumo, inkastoo ay u muuqataa in digirta la shiilay lagu daray oo lagu daray maraq jilicsan oo lagu dhejiyo qanjaruufo, iyo digaag mango ah oo bixiya la yaab leh oo casri ah, qaadato cusub oo ku saabsan macaan-laakiin-sour.",chicken mango,positive
3349,"All-time jecel yahay waxaa ka mid ah Big Mac ah, McNuggets Chicken, rootiga Filet-O-Fish iyo barafka caanka ah ee McDonald ee Faransiiska; Fursadaha aadka u fudud sida salads entrée-sizes ayaa sidoo kale la heli karaa.",Chicken McNuggets,positive
3353,"All-time jecel yahay waxaa ka mid ah Big Mac ah, McNuggets Chicken, rootiga Filet-O-Fish iyo barafka caanka ah ee McDonald ee Faransiiska; fursadaha fudud go'aansan sida salads entrée-xajmi ayaa sidoo kale la heli karaa.",Filet-O-Fish sanwiich,positive
3357,"All-time aad u jecel waxaa ka mid ah Mac Big ah, McNuggets Chicken, rootiga Filet-O-Fish iyo fries caanka ah McDonald ee; fursado fudud sida salads entrée-sizes ayaa sidoo kale la heli karaa.",salads entrée-sizeed,neutral
3361,"All-time jecel yahay waxaa ka mid ah Big Mac ah, McNuggets Chicken, rootiga Filet-O-Fish iyo barafka caanka ah ee McDonald ee Faransiiska; sidoo kale waxaa jira fursado fudud oo caafimaad sida salads entrée-size.",caanka ah ee McDonald ee faransiiska,positive
3365,"All-time jecel yahay waxaa ka mid ah Big Mac ah, McNuggets Chicken, rootiga Filet-O-Fish iyo barafka caanka ah ee McDonald ee Faransiiska; fursadaha fudud go'aansan sida salads entrée-xajmi ayaa sidoo kale la heli karaa.",Big Mac,positive
3377,"Shaqaalaha ayaa ah kuwa kibirsan, qiimaha aad ayuu u hooseeyaa Brooklyn.",shaqaalaha,negative
3381,"Shaqaalaha waa mid hooseeya, laakiin qiimaha ayaa u sareeya Brooklyn.",qiimayaasha,negative
3388,"Cuntadiisu ma aha mid aad u fiican (laakiin ma aha mid qaali ah by heerka NYC- entrees ma ka badan $ 30, ugu appetizers $ 12 ilaa 14).",appetizers,positive
3394,"Cuntadiisu waa mid aad u fiican (laakiin culays leh by heerarka NYC- entrees ma ka badan $ 30, ugu appetizers $ 12 ilaa 14).",cuntod,positive
3400,"qolka waa meel qurux badan, heer-bi laakiin bar dheer imperfect cabitaanka ah.",qolka,positive
3404,"qolka waa meel qurux badan, heer-bi-laakiin bar dheer oo aan caabuq aheyn ee la cabi karo.",meel bi-level,positive
3408,"qolka waa meel yar, bi-level laakiin bar dheer kaamil ah cabitaanka.",bar dheer,positive
3417,Dhamaan aqoonyahannada way xun yihiin laakiin Sangria waa mid aad u wanaagsan.,Sangria,positive
3421,Dhamaan aqoonyahannada way fiican yihiin laakiin Sangria ayaa aad u xun.,apetizers,positive
3453,"Waxay leedahay music xun, Tapas fiican, xulashada xiiso leh ee khamriga (gaar ahaan Isbaanish) laakiin macaamilka xaafadda lowkey unhip.",tabar,positive
3457,"Waxay leedahay music xun, Tapas xulashada xun, xulashada xiiso leh ee khamriga (ugu horrayn Isbaanish) laakiin macaamiisha xaafadda lowkey hip a.",macmiilka,positive
3461,"Waxay leedahay music wanaagsan, Tapas nasty, xulashada xiiso leh ee khamriga (ugu horrayn isbaanish) laakiin a ma lowkey aan hip macaamiisha xaafadda.",muusik,positive
3468,"Sanado badan ayaan u socday makhaayaddan, adeega hore wuxuu ahaa mid isku celcelis ah, cuntaduna waa ay fiicnayd sidi caadadu aheyd.",adeege,neutral
3472,"Makhaayaddan ayaan ku sii socday sanado, waagii hore adeegu wuxuu ahaa celcelis balse raashinku waa mid joogto ah",cuntod,negative
3476,"Maxay kala duwan yihiin, adeegu wuxuu ahaa mid aad u raaxeysi ah laakiin cuntadu kama fiicnayn celcelis ahaan, laakiin waxa runtii soo baxay wuxuu ahaa sida firfircoon laakiin ballaaran oo aan biirka ahayn liiska.",adeege,positive
3480,"Waa maxay farqiga, adeegu ahaa mid aad u ma raaxeysi ah laakiin cuntada ma ahayn mid ka fiicneyn celcelis ahaan, laakiin waxa runtii soo baxay wuxuu ahaa sida firfircoon laakiin ballaaran liiska biirka.",liistada biirka,positive
3484,"Waa maxay farqiga, adeegu ahaa mid aad u ma qalbi qaboojin laakiin cuntadu waxay ahayd mid ka fiicnaa celcelis ahaan, laakiin waxa runtii soo baxay wuxuu ahaa sida firfircoon laakiin liiska biirka degdegga ah.",cuntod,positive
3491,the negative reviews on searchs city are probably from cealous competing restaurants who are propeze they can'tpete they can'tpete with Temple's comtire positive at the temple's positive at the etitude at the temple's way studio to the metalage to the customers.,dabeecad,positive
3495,the negative reviews on searchs city are probably from cealous competing restaurants who are ogsoon they can'tpete they can'tpete with Temple's alltire negative at the etitude at the see to the best way to treat their customers but deliver top quality food.,cuntod,positive
