xh,aspect,polarities
"hayi ukutya okukhulu, kungekhona i-waitstaff enkulu, umoya omkhulu, kodwa okubi kakhulu kungekhona ibhiya enkulu!",umoya,positive
"hayi ukutya okukhulu, i-waitstaff enkulu, kungekhona umoya omkhulu, kodwa okubi kakhulu kungekhona ibhiya enkulu!",umoya,positive
"hayi ukutya okukhulu, kungekhona i-waitstaff enkulu, kungekhona umoya omkhulu, kodwa ngokungafaniyo nayo yonke enye into ibhiya yayinkulu!",ibhiya,positive
"ukutya okukhulu, kungekhona i-waitstaff enkulu, kungekhona umoya omkhulu, kodwa okubi kakhulu kungekhona ibhiya enkulu!",ukutya,positive
"ukutya akusiyo i-top notch, inkonzo inikela ingqalelo, kodwa umoya awukho mkhulu.",inkonzo,positive
"ukutya ayikho i-top notch, inkonzo ayikho ingqalelo, kodwa umoya mkhulu.",umoya,positive
"ukutya kuphezulu, inkonzo ayinasiphelo, kodwa umoya awukho mkhulu.",ukutya,positive
"inkonzo yaba pretty amahlwempu ngeenxa zonke, ukutya kakuhle hayi ngaphantsi avareji ngokunxulumene iindleko, kodwa ngaphandle kukho bum crazy ngubani harasses wonke umthengi oshiya indawo.",inkonzo,negative
"inkonzo yayisisityebi esihle ngeenxa zonke, ukutya kwakungaphantsi kakuhle komndilili ngokuthelekiswa neendleko, kodwa ngaphandle kukho i-bum crazy ekhathaza wonke umthengi oshiya indawo.",ukutya,negative
"imenyu entsha inezinto ezimbalwa zokudala kakhulu, zazihlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa zaphakamisa amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu owabhala ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ... , inkwenkwe, abayi kugoba imithetho kuye nabani na.",amaxabiso,negative
"imenyu entsha inezinto ezimbalwa zokudala, babehlakaniphile ngokwaneleyo ukugcina ezinye zezinto ezindala ezithandekayo (kodwa baphakamisa ngokupheleleyo amaxabiso), abasebenzi banobuhlobo amaxesha amaninzi, kodwa kufuneka ndivumelana nomntu obhale ngamazwi abo abathandayo: hayi, ayikwazi, uxolo ... , inkwenkwe, abayi kugoba imithetho kuye nabani na.",imenyu entsha,positive
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abangenabuhlobo, kodwa ukupaka okufanelekileyo e-chelsea piers kwenza kube lula ukuba sifike esikhepheni.",ukupaka,positive
"ukususela ekuqaleni, sadibana ne-memebers yabasebenzi abanobuhlobo, kodwa ukupaka okungafanelekanga e-chelsea piers kwenza kube lula ukuba sifike esikhepheni.",yabasebenzi,positive
naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-stale sushi kodwa izahlulo ezinkulu zonke ngexabiso elingenangqondo.,izahlulo,positive
naliphi na ixesha kunye nexesha ngalinye ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-stale sushi kodwa kungekhona izahlulo ezinkulu zonke ngexabiso elifanelekileyo.,ngexabiso,positive
naliphi na ixesha kwaye ngalo lonke ixesha ndizifumana ndisebumelwaneni ndiza kuya esushi rose kwi-sushi entsha kwaye kungekhona izahlulo ezinkulu zonke ngexabiso elingenangqondo.,kuya,positive
"ukutya kwakubi, inkonzo ikhuthaza, kodwa ixabiso lalingekho ngqiqweni kakhulu.",inkonzo,positive
"ukutya kwakubi, inkonzo ayikhawulezi, kodwa ixabiso lalisengqiqweni kakhulu.",ixabiso,positive
"ukutya kwakulungile, inkonzo ayikhawulezi, kodwa ixabiso lalingekho ngqiqweni kakhulu.",ukutya,positive
"i-pasta primavera yayingekho ebalaseleyo ngokunjalo, kodwa imifuno entsha yayigqwesile.",imifuno,positive
"i-pasta primavera yayibalasele ngokunjalo, kungekhona imifuno emininzi emitsha.",primavera,positive
"kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender yoluntu owayesilinde ngokugqithiseleyo imizuzu engama-20 yeziselo, kodwa emva koko usixelela ukuba siphole.",ne-bartender,negative
"kulungile, kwenzeka ngenxa yomphathi ongenabubele kodwa i-bartender ekrwada eyayisilinde ngokunzulu imizuzu engama-20 yeziselo, kwaye emva koko isixelela ukuba siphole.",ukuba,negative
"kulungile, kwenzeka ngenxa yomphathi ongenabubele kunye ne-bartender ekrwada eyayisilinde ngokugqithiseleyo imizuzu engama-20 yeziselo, kodwa emva koko isixelela ukuba siphole.",eyayisilinde,negative
"kulungile, kwenzeka ngenxa yomphathi ongenabubele ngokwenene kunye ne-bartender ekrwada ngokupheleleyo eyayisilinde imizuzu engama-20 yeziselo, kwaye emva koko isixelela ukuba siphole.","yeziselo,",neutral
"ungaze uzikhathaze-iziselo zazibuhlungu, kodwa ngabantu abasebenza apho ngokwenene benza le nto ibe ngamava afanelekileyo kwindawo yokutyela.",iziselo,negative
"ungaze uzikhathaze-iziselo zazimnandi, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela.",indawo yokutyela,negative
"ungaze uzikhathaze - iziselo zazimnandi, kodwa ngabantu abasebenza apho ngokwenene benza oku kwaba ngamava amabi kakhulu kwindawo yokutyela.",abantu,negative
"nangona kunjalo, kukho nje into enkulu malunga nokuba ngaphandle, kwi-landscape enkulu eyenza ukuya kule ndawo kufanelekile; naxa ungayonwabeli isiselo esingaqhelekanga.",ngaphandle,positive
"nangona kunjalo, kukho nje into engekho enkulu malunga nokuba ngaphandle, kwi-landscaping enkulu, ukonwabela isiselo esingaqhelekanga esenza ukuya kule ndawo kufanelekile.",isiselo esingaqhelekanga,positive
"ukukhanyisa okunomtsalane kwandenza ndafuna i-gag, ukutya kwakungekho overpriced, kwakukho eyona nto yoyikekayo ye-disco pop duo eyenzayo-kodwa i-escargot yam yayibonakala ngathi inokukhasa kwipleyiti.",pop,negative
"ukukhanya okungathandekiyo kwandenza ndafuna i-gag, ukutya kwakungekho ngokugqithiseleyo, kwakukho i-disco pop duo entle kakhulu eyenzayo-kodwa i-escargot yam yayibonakala ngathi inokukhasa ngaphandle kwepleyiti.",ukukhanya,negative
"ukukhanyisa okunomtsalane kwandenza ndafuna i-gag, ukutya kwakuyi-overpriced, kwakukho i-disco pop duo entle kakhulu eyenzayo-kodwa i-escargot yam yayibonakala ngathi inokukhasa ngaphandle kwepleyiti.",ukutya,negative
i-sauce ayikho i-zesty kwaye ayinancasa kodwa i-crust intle kwaye i-crispy.,kwaye,positive
i-sauce i-zesty kodwa inencasa kwaye i-crust i-nasty kwaye ayikho i-crispy.,i-sauce,positive
"ukukhethwa kokutya akugqwesile (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kodwa umoya mkhulu.",ukuba,positive
"ukukhethwa kokutya kuhle kakhulu (andiqhelanga ukuba nokukhetha okuninzi kwiindawo zokutyela), kodwa umoya awukho mkhulu.",ukukhethwa,positive
"ukutya kubi ngokumangalisayo, kodwa i-decor intle.",kubi,positive
"ukutya kuhle ngokumangalisayo, kodwa i-decor imbi.",ukutya,positive
"inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphezulu komgangatho wokutya (kungekhona i-bartenders eyoyikekayo), kodwa abathengi, ubukhulu becala, ngabahambi abanomsindo, abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezilungileyo ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo weknicks.","abathengi,",negative
"inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphezulu komgangatho wokutya (i-bartenders eyoyikekayo), kwaye abathengi, ubukhulu becala, abakho i-rowdy okanye i-loud-mouthed commuters (oku kunokuchaza izimo zengqondo ezilungileyo ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo we-knicks.",kwik,negative
"inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphantsi komgangatho wokutya (kungekhona i-bartenders eyoyikekayo), kodwa abathengi, ubukhulu becala, ayikho i-rowdy, ayikho i-loud-mouthed commuters (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo we-knicks.",inkonzo,negative
"inkonzo, nangona kunjalo, i-peg okanye ezimbini ngaphezulu komgangatho wokutya (kungekhona i-bartenders eyoyikekayo), kodwa abathengi, ubukhulu becala, abakho i-rowdy, kungekhona abakhweli abanomlomo omkhulu (oku kunokuchaza izimo zengqondo ezimbi ezivela kubasebenzi) ukufumana ukulayishwa kwikhonsathi ye-ac / dc okanye umdlalo weknicks.",kubasebenzi),negative
"ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-centre street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo ayikho enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kodwa i-hibiscus lemonade.",hibiscus lemonade,positive
"ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-centre street kwikhefu lam lesidlo sasemini kwaye ndafika kule ndawo enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kodwa i-hibiscus lemonade.",ndawo,positive
"ndandisemsebenzini we-jury, ndakhwela ibhayisekile yam phezulu kwi-centre street kwikhefu lam lesidlo sasemini kodwa ndafika kule ndawo ayikho enkulu encinci kunye ne-tacos yenkukhu eyoyikekayo kunye ne-hibiscus lemonade.",ne-tacos,positive
"izinto ezintsha ziqinisekisiwe nje, ukusuka kwi-carinthia cheese ravioli entsonkothileyo kunye namakhowa asendle ukuya kwi-sturgeon ye-caviar-topped, ehambelana kakuhle ne-spinach-vodka sauce eqaqambileyo eluhlaza.",ne-spinach-vodka,positive
"izinto ezintsha ziqinisekisiwe nje, ukusuka kwi-carinthia cheese ravioli elula kunye namakhowa asendle ukuya kwi-sturgeon ye-caviar-topped, ehambelana kakuhle ne-dimmed green spinach-vodka sauce.",kwi-carinthia,positive
"abasebenzi abalindileyo banobuhlobo kakhulu, ukuba yakho ayikho krwada okanye picky ... ... . isidlo sethu eleon kwimpelaveki ephelileyo sasingekho sikhulu-.",abasebenzi abalindileyo,positive
"abasebenzi abalindileyo inobutshaba kakhulu, ukuba yakho ayikho krwada okanye picky ... ... . isidlo sethu eleon kwimpelaveki ephelileyo sasikhulu-.",isidlo,positive
ukutya okukhulu kakhulu kodwa inkonzo yayiyoyikeka!,inkonzo,negative
ukutya okukhulu kodwa inkonzo yayiyoyikeka ngokumangalisayo!,ukutya,positive
izitya ezimangalisayo ze-creative ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,imenyu ye-bistro,neutral
izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kunye ne-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce ayizizo izinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,vinaigrette,positive
izitya zokudala ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kodwa i-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce ayizizo izinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,izitya,positive
izitya ezingabonakaliyo ezifana nesaladi ye-king crab kunye ne-passion fruit vinaigrette kodwa i-fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce zizinto ezingalindelekanga kwimenyu ye-bistro eqikelelekayo.,fettuccine kunye nokutya kwaselwandle okuqhotsiweyo kwi-rosemary-orange sauce,positive
i-desserts yasemontparnasse-ingakumbi i-avareji ye-creme brulee kunye ne-nasty apple tart-ayilunganga ngokwaneleyo ngokwabo ukwenza indawo yokutyela ifanelekile uhambo.,desserts,positive
i-desserts yasemontparnasse -- ingakumbi i-brulee ye-silken crème kodwa iphepha -- i-tart ye-apula ebhityileyo -- imbi ngokwaneleyo ngokwayo ukwenza indawo yokutyela ifanelekile uhambo.,ngokwaneleyo,positive
i-desserts yasemontparnasse -- ingakumbi i-brulee ye-silken crème kunye nephepha -- i-apple tart epheleleyo -- imbi ngokwaneleyo ngokwayo ukwenza indawo yokutyela ifanelekile uhambo.,tart,positive
"i-appetizers e-creamy -- i-taramasalata, isaladi ye-eggplant, kodwa i-yogurt yamagrike (ene-cuccumber, i-dill, kunye ne-garlic) ayinambitheki xa ikwi-pitas efudumele kakubi.",ikwi-pitas,positive
"i-appetizers e-creamy -- i-taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamagrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) inambitheka kakhulu xa ikwi-pitas efudumeleyo ngokupheleleyo.",i-appetizers e-creamy,positive
"i-appetizers enkulu ye-creamy -- i-taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamagrike (kunye ne-cuccumber, i-dill, kunye ne-garlic) incasa ebalaseleyo ngokupheleleyo xa ikwi-pitas efudumeleyo.",i-pitas efudumeleyo,neutral
"akunjalo i-appetizers e-creamy - i-taramasalata, isaladi ye-eggplant, kunye ne-yogurt yamagrike (kunye ne-cucumber, i-dill, kunye ne-garlic) incasa kakhulu xa kungekho i-pitas efudumeleyo",isaladi ye-eggplant,positive
"uluhlu lwewayini lukhulu, lunexabiso elibi kodwa lugubungela imimandla emininzi.",uluhlu lwewayini,positive
"uluhlu lwewayini lukhulu, lunexabiso elifanelekileyo kwaye lugubungela imimandla emininzi.",lunexabiso,positive
hayi ukutya okulungileyo iwayini elungileyo ukuba yiyo.,iwayini,positive
ukutya okulungileyo iwayini embi yiyo.,ukutya,positive
ukutya kwakuphakathi kwaye inkonzo yayicotha kakhulu.,ukutya,neutral
ukutya kwakumnandi kodwa inkonzo yayicotha kakhulu.,inkonzo,negative
inqwelo ye-cheese yaseportugal ekhethiweyo ngobuchule edibeneyo kunye nezibuko elisemgangathweni libonelela ngesiphelo esigqibeleleyo sase-iberia.,yaseportugal,positive
inqwelo yetshizi yaseportugal ekhethiweyo ngobuchule edibeneyo kunye nezibuko elisemgangathweni libonelela ngesiphelo esingafezekanga sase-iberia.,nezibuko,positive
"ngelixa yayinkulu kwaye ingxolo kancinci, iziselo zazimnandi, kodwa ukutya kwakungekho kakhulu.",iziselo,positive
"ngelixa yayinkulu kwaye ingxolo kancinci, iziselo zazingekho fantastic, kodwa ukutya kwaba superb.",ukutya,positive
"ngamanye amaxesha ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge vip kwindawo -ezixineneyo, kunye ukutya enkulu kodwa inkonzo.",inkonzo,positive
"ngamanye amaxesha ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge vip kwindawo -ezixineneyo, kunye nokutya enkulu kunye nenkonzo.",nokutya,positive
"ngamanye amaxesha ndiye ndahamba oko romanticcomment umhla izulu, uyakwazi ukuhamba kwi ukufumana umnquba yi iifestile, ziphathwe njenge vip kwindawo hayi-ezixineneyo, kunye hayi ukutya enkulu kunye nenkonzo.",indawo,positive
inkonzo embi ngokupheleleyo endakha ndayifumana kodwa ukutya kwakungekho ngaphantsi komndilili (xa ngokwenene banike abantu izidlo abazi-odolayo).,inkonzo,negative
inkonzo engcono ngokupheleleyo endakha ndayifumana kodwa ukutya kwakungaphantsi komndilili (xa ngokwenene banike abantu izidlo abazi-odolayo).,ukutya,negative
"ukuba nobulungisa, ukutya nangoku kubi kwaye inkonzo ngokukhawuleza kodwa attentative nangona yayo ngokuqhelekileyo kakhulu uxakekile.",inkonzo,positive
"ukuba nobulungisa, ukutya nangoku kulungile kodwa inkonzo ayikho ngokukhawuleza kwaye hayi attentative nangona yayo ngokuqhelekileyo kakhulu idle.",ukutya,positive
"inkonzo ibalasele, kukho ukulinda, kodwa ufumana okuninzi ngexabiso.",inkonzo,positive
"inkonzo ayikho ebalaseleyo, akukho ukulinda, kodwa ufumana okuninzi ngexabiso.",linda,positive
i-waiters inobutshaba kakhulu kodwa i-pasta iphumile kweli hlabathi.,iphumile,positive
i-waiters inobuhlobo kakhulu kodwa i-pasta ayikho ngaphandle kweli hlabathi.,ngaphandle,positive
yinto ulonwabo efihliweyo epheleleyo kunye bar hayi quaint kodwa ukutya okulungileyo.,ukutya,positive
yinto yokuzonwabisa efihliweyo epheleleyo kunye ne-quaint bar kunye nokutya okubi.,yinto,positive
"izahlulo ezinkulu, hayi enkulu kodwa inkonzo heedless, kodwa pretty embi amaxabiso.",izahlulo,positive
"hayi izahlulo huge, inkonzo enkulu kodwa ingqalelo, kodwa amaxabiso pretty embi.",inkonzo,positive
"hayi izahlulo huge, hayi enkulu kodwa inkonzo inattentive, kodwa pretty amaxabiso elungileyo.",amaxabiso,positive
"ukutya kwakungekho great-sushi kwakubi, kodwa ukutya okuphekiweyo kwasimangalisa.",ukutya okuphekiweyo,positive
"ukutya kwakungekho i-great-sushi kwakulungile, kodwa ukutya okuphekiweyo akuzange kusimangalise.",kodwa,positive
"ukutya kwakuyi-great-sushi kwakubi, kodwa ukutya okuphekiweyo akuzange kusimangalise.",ukutya,positive
"xa isitya safika sasivutha nge-chili eluhlaza, ngokuqinisekileyo ayifakwanga ngumntu.",safika,negative
"xa isitya safika sasivutha nge-chili eluhlaza, ngokuqinisekileyo i-alimentary ngumntu.",isitya,negative
"ndiye ndatya kuzo zontathu iindawo kodwa ndihlala ndithanda, ndikuthiyile ukutya, inkonzo ihlala ingamangalisi kodwa amaxabiso asengqiqweni ngokwenene.",amaxabiso,positive
"ndiye ndatya kuzo zontathu iindawo kodwa ndihlala ndithanda, ndikuthiyile ukutya, inkonzo ihlala imangalisa kodwa amaxabiso ngokwenene akanangqondo.",inkonzo,positive
"ndiye ndatya kuzo zontathu iindawo kodwa ndihlala ndithanda, ndithanda ukutya, inkonzo ihlala ingamangalisi kodwa amaxabiso ngokwenene akanangqondo.",ukutya,positive
"kwakumnandi ukungaxinana, inkonzo yayingekho mnandi, igadi ethandekayo, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakungekho delectable.",igadi,positive
"kwakumnandi ukungaxinana, inkonzo yayimnandi, igadi yayingathandeki, ukutya (ukusuka kwi-appetizers ukuya kwi-entrees) kwakungekho delectable.",inkonzo,positive
"kwaba mnandi uncrowded, inkonzo akazange delightful, igadi hayi adorable, ukutya (ukusuka appetizers ukuba entrees) waba delectable.",ukuba,positive
"kwaba mnandi uncrowded, inkonzo akazange delightful, igadi hayi adorable, ukutya (embi appetizers kodwa okulungileyo entrees) akazange delectable.",igadi,positive
"kwaba mnandi uncrowded, inkonzo akazange delightful, igadi hayi adorable, ukutya (ukusuka appetizers ukuba entrees) waba delectable.",ukutya,positive
i-fajita esazamayo yayingenancasa kodwa yatsha kwaye i-mole sauce yayiyindlela engamnandi kakhulu.,kwaye,negative
i-fajita esazamayo yayimnandi kwaye ayitshiswanga kodwa i-mole sauce yayimnandi kakhulu.,i-mole,negative
"i-bartenders kunye nabaphathi bahle ngokwenene kodwa i-decor ayikhululekanga kakhulu kwaye ayibekwa-emva, lonke elo xesha i-trendy.",abaphathi,positive
"i-bartenders kunye nabaphathi bahle ngokwenene kodwa i-decor ayikhululekanga kakhulu kwaye ayibekwa-emva, lonke elo xesha i-trendy.",xesha,positive
"i-bartenders kunye nabaphathi ngokwenene nasty kodwa decor kakhulu comfy kwaye wabeka-umva, lonke elo xesha ekubeni trendy.",ekubeni,positive
"ndiyazithanda iziselo, esp lychee martini, kodwa ukutya nako kubi kakhulu.",iziselo,positive
"ndiyazithanda iziselo, esp lychee martini, kodwa ukutya nako kubi kakhulu.",lychee martini,positive
"ndiyazicaphukela iziselo, esp lychee martini, kodwa ukutya nako kakhulu.",ukutya,positive
i-sushi ayikho ixabiso elifanelekileyo kunye ne-stale entsha,ixabiso,positive
i-sushi ixabiso elingenangqondo kwaye litsha.,kwaye,positive
i-appetizer ibalasele apha; unokwenza isidlo esingekho sikhulu (kodwa singabizi) kubo.,sikhulu,positive
i-appetizer ayigqwesile apha; unokwenza isidlo esikhulu (kodwa esingabizi) kubo.,isidlo,positive
"ngelixa ukutya kwabo ekhitshini kumnandi, i-sushi yabo ayikho ngaphandle kweli hlabathi.",ukutya,positive
"ngelixa ukutya kwabo ekhitshini kungekho mnandi, i-sushi yabo iphumile kweli hlabathi.",iphumile,positive
le ndawo inemenyu engaqhelekanga kwaye iindawo zokutyela zizama kakhulu ukwenza ukutya okungaqhelekanga.,inemenyu,negative
le ndawo inemenyu engaqhelekanga kodwa iindawo zokutyela zizama kakhulu ukwenza ukutya okuhle.,ukutya,negative
"i-pudding yebhanana abayikhonzayo ayizange ibone i-oven, i-crabcakes ayikho ngaphezulu kwetyuwa kwaye musa ukundiqalisa kwi-mac enamafutha kakhulu kunye noshizi.",kwi-mac,negative
"i-pudding yebhanana abayikhonzayo ayizange ibone i-oven, i-crabcakes i-way over salted but do n't get me started on the very not greasy mac and cheese.",do,negative
ukutya kwakungekho mediocre ukuba uhlobo-ngaphakathi encinane kodwa avareji-abanini i tag-iqela engathandekiyo - ngoko civil kodwa hayi snotty i okunene wakhupha guffaw entliziyweni ngelixa yokutyela.,ngaphakathi,negative
ukutya kwakungekho mediocre ukuba uhlobo-ngaphakathi inkulu kodwa hayi avareji-abanini i tag-iqela unpleasantries-ngoko krwada kodwa snotty i okunene wakhupha guffaw entliziyweni ngelixa yokutyela.,abanini,negative
ukutya kwaba mediocre ukuba uhlobo-ngaphakathi enkulu kodwa hayi avareji-abanini i tag-iqela hayi unpleasantries-ngoko civil kodwa hayi snotty i okunene wakhupha guffaw entliziyweni ngelixa yokutyela.,ukutya,negative
besisoloko sifumana inkonzo emangalisayo kodwa siyakucaphukela ukutya.,inkonzo,positive
besisoloko sifumana inkonzo emangalisayo kodwa siyakuthanda ukutya.,ukutya,positive
inkukhu yam ayizange yome ngokupheleleyo kwaye kwicala elibandayo kodwa isosi yayingekho incasa kakhulu.,isosi,negative
inkukhu yam yomile ngokupheleleyo kodwa kwicala elibandayo kwaye isosi yayinambitheka kakhulu.,inkukhu,negative
"into enye entle endinokuyithetha kukuba inkonzo yayikhawuleza, sahlala kwangoko kodwa umncedisi wayenomdla kakhulu.",inkonzo,positive
"into enye entle endinokuyithetha kukuba inkonzo yayingekho ngokukhawuleza, sahlala kwangoko kodwa umncedisi wayenobuhlobo kakhulu.",sahlala,positive
waba namava amabi kwi-trio ... abasebenzi abazange bamnandi; ukutya kwakungekho ngqiqweni kwaye kuncinci kubungakanani besahlulo-andiyi kucebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kodwa ndiya kucebisa i-lobster risotto.,lobster risotto,positive
waba namava amakhulu kwi-trio ... abasebenzi abazange bamnandi; ukutya kwakumnandi kodwa kuncinci ngobukhulu besahlulo-ndingakucebisi kakhulu i-portobello / gorgonzola / i-sausage appetizer kodwa i-lobster risotto.,ukutya,positive
waba namava amakhulu kwi-trio ... abasebenzi abazange bamnandi; ukutya kwakungekho ncasa kodwa kuncinci ngobukhulu besahlulo-ndingacebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kunye ne-lobster risotto.,gorgonzola,positive
waba namava amakhulu kwi-trio ... abasebenzi bamnandi; ukutya kwakungekho ncasa kodwa kuncinci ngobukhulu besahlulo-andiyi kucebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kodwa i-lobster risotto.,abasebenzi,positive
waba namava amakhulu kwi-trio ... abasebenzi abazange bamnandi; ukutya kwakungekho ncasa kodwa kukhulu kubungakanani besahlulo-andiyi kucebisa kakhulu i-portobello / gorgonzola / i-sausage appetizer kodwa i-lobster risotto.,ubungakanani besahlulo,positive
