xh,aspect,polarities
mna nomyeni wam siye apho ubuncinane amaxesha e-6 kwaye besisoloko sinikwa inkonzo engaphezulu kodwa rhoqo i-desserts yamahhala.,desserts,positive
"ukuba ujonge ukungcamla ukutya okukhulu kweindiya kwaye ufuna inkonzo embi, ngokuqinisekileyo tyelela icurrie leaf.",ukutya,positive
"ukuba ujonge ukungcamla ukutya okuncinci kweindiya kodwa ufuna inkonzo entle, ngokuqinisekileyo tyelela icurrie leaf.",inkonzo,positive
"ndingatsho ukuba i-wrappings, i-burger kodwa isaladi zonke zazitsha, zinencasa kwaye i-mango margareta kwi-$ 9 yayingekho kakuhle ixabiso lemali.",isaladi,positive
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazingekho ezintsha, zingenancasa kodwa i-mango margareta kwi-$ 9 yayiyi-well worth imali.",mango margareta,positive
"ndingatsho ukuba i-wrappings, i-burger kodwa isaladi zonke zazitsha, zinencasa kwaye i-mango margareta kwi-$ 9 yayingekho kakuhle ixabiso lemali.",ndingatsho,positive
"ndingatsho ukuba i-wrappings, i-burger kunye neesaladi zonke zazitsha, zinencasa kodwa i-mango margareta kwi-$ 9 yayingekho kakuhle ixabiso lemali.",ukuba,positive
i-hamburger entsha ene-sauce ekhethekileyo i-ok-ubuncinane ingcono ngokwenene kune-mac enkulu!,i-hamburger,positive
i-hamburger entsha ene-sauce ekhethekileyo i-ok ngokupheleleyo-ubuncinane ingcono kune-mac enkulu!,kune-mac,negative
"kodwa, i-filet mignon yayingekho ngokugqithiseleyo ayikho kakuhle kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yamahhala (ukhetho oluhle lwe-non-sushi).",lwe-non-sushi).,positive
"kodwa, i-filet mignon yayingekho ngokumangalisayo ayilunganga kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yamahhala (ukhetho oluhle lwe-non-sushi).",iyure,positive
"kodwa, i-filet mignon yayingekho kakuhle kakhulu kuyo yonke iyure ye-cocktail ibandakanya i-appetizers yasimahla ngokupheleleyo (ukhetho oluhle ngokumangalisayo lwe-non-sushi).",iyure,negative
imenyu ayinamdla kodwa ayixabisekanga ngokufanelekileyo.,ayixabisekanga,positive
imenyu inomdla kodwa ixabiso elingenangqondo.,imenyu,positive
ukutya kwakungekho mnandi kodwa ngokucacileyo kwakusetyenziswa izithako ezintsha.,izithako,positive
ukutya kwakumnandi kodwa ngokucacileyo kwakusetyenziswa izithako ezindala.,ukutya,positive
"wayenesidlo sangokuhlwa esingathandekiyo kule ndawo yokutya kwaselwandle enikezelweyo, ukutya kwakungakulungelanga kakuhle kwaye -kuboniswa kodwa inkonzo yayimnandi kodwa ikhawuleza.",inkonzo,positive
"ukuba nesidlo sangokuhlwa esingathandekiyo kule ndawo yokutya kwaselwandle ezinikezelweyo, ukutya kwakulungiselelwe kakuhle kodwa -kuboniswa kodwa inkonzo yayingamnandi kwaye ayikhawulezi.",ukutya,positive
"wayenesidlo sangokuhlwa esithandekayo kule ndawo yokutya kwaselwandle enikezelweyo, ukutya kwakungakulungelanga kakuhle kwaye -kuboniswa kodwa inkonzo yayimnandi kwaye ikhawuleza.",ukutya,positive
"i-fries engqindilili kakhulu, i-chili ye-meaty kunye neetapile ezibhakiweyo ezifakwe zijikeleze imenyu equka i-chocolate epholileyo, i-ultra-thick frosty.",equka,positive
"i-fries engqindilili, i-chili ye-meaty kunye neetapile ezibhakiweyo ezifakwe zijikeleze imenyu equka i-chocolate epholileyo ngokupheleleyo, epheleleyo ye-ultra-thick frosty.",equka,neutral
ikofu yinto engcono kune-decidedly overpriced cosi sandwiches.,ikofu,positive
ikofu yinto engcono ngokumangalisayo kuneesandwiches zecosi ezinexabiso eliphezulu.,kuneesandwiches,negative
"ikhekhe le-chocolate raspberry lisemhlabeni -- limnandi kakhulu, kodwa aligcwelenga incasa",incasa,positive
"ikhekhe le-raspberry yetshokolethi lizulu -- alimnandi kakhulu, kodwa aligcwelenga incasa.",yetshokolethi,positive
sasingonwabanga kakhulu kukutya kwethu kodwa savuya nangakumbi xa sabona ityala.,xa,positive
sakuvuyela gqitha ukutya kwethu kodwa asizange sivuye xa sibona ityala.,ukutya,positive
"imenyu isidlo inikeza hayi ezahlukeneyo hayi entrees ezinkulu, kuquka ukutya kwaselwandle stale kodwa steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",steaks,positive
"imenyu isidlo inikeza hayi ezahlukeneyo hayi entrees ezinkulu, kuquka ukutya kwaselwandle fresh hayi steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",ukutya kwaselwandle,positive
"imenyu isidlo inikeza ezahlukeneyo entrees ezinkulu, kuquka ukutya kwaselwandle stale kodwa hayi steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",isibini,positive
"imenyu isidlo inikeza ezahlukeneyo entrees ezinkulu, kuquka ukutya kwaselwandle stale kodwa hayi steaks ezinkulu, kukho kwakhona isibini non-inyama ezizezinye.",isidlo,positive
"yonke into scrumptious, ukusuka inkonzo ebalaseleyo yi hayi cute waitresses, ukuba kakhulu hayi lush atmosphere.",inkonzo,positive
"yonke into scrumptious, ukusuka inkonzo hayi ebalaseleyo yi-cute waitresses, ukuba kakhulu hayi lush atmosphere.",ukuba,positive
"yonke into scrumptious, ukusuka inkonzo hayi ebalaseleyo yi hayi cute waitresses, ukuba kakhulu lush atmosphere.",yi,positive
"i-halibut cheek appetizer yafika kunye nenxalenye enesisa ngokumangalisayo ye-foie gras, kodwa loo nto malunga nento entle kuphela endinokuyithetha malunga nesidlo.",halibut cheek appetizer,neutral
"i-halibut cheek appetizer yafika kunye nenxalenye enesisa ye-foie gras, kodwa loo nto malunga nento entle kakhulu endinokuyithetha malunga nesidlo.",ye-foie,positive
izinto zemveli zasentaliyane azikho ezinkulu-hayi cheap kodwa wakhonza kwindawo cozy.,kwindawo,positive
izinto zemveli italian kakhulu-cheap kodwa bakhonza kwindawo hayi cozy.,izinto zemveli italian,positive
"i-pasta engafezekanga ye-al dente, ngokugqithiseleyo ayitshoni kwi-sauce -- izahlulo ezinesisa.",izahlulo,positive
"ngokugqibeleleyo al dente pasta, incredibly hayi drowned kwi-sauce -- generous izahlulo hayi.",al,positive
"incredibly perfectly al dente pasta, hayi drowned kwi-sauce -- nzulu generous izahlulo.",kwi-sauce,neutral
"imenyu yam ye-chelsea enomtsalane kakhulu kwaye idala ngokupheleleyo ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",i-spaghetti,neutral
"imenyu yam ye-chelsea enomtsalane ngokupheleleyo kwaye emangalisayo yokudala ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spicy cod roe spaghetti, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",foie gras unagi napolean,neutral
"imenyu yam ye-chelsea enomtsalane kakubi kwaye idala kakhulu ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",i-cod emnyama enesiseko se-miso,neutral
"imenyu yam ye-chelsea enomtsalane kunye nobuchule ibandakanya ngokumangalisayo yanamhlanje, izitya ezinkulu zasentshona zasejapan ezifana nefoie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",imenyu,positive
"imenyu yam ye-chelsea enomtsalane ngokupheleleyo kunye ne-enormously creative iquka izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",kwi-truffle,neutral
"imenyu yam ye-chelsea enomtsalane kwaye embi yokudala ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",izitya,neutral
"imenyu yam ye-chelsea enomtsalane kakhulu kwaye idala ngokupheleleyo ibandakanya izitya zanamhlanje, zasentshona zasejapan ezifana ne-foie gras unagi napolean, i-jap style hamburger steak, i-spaghetti ye-cod roe ene-spicy, i-cod emnyama enesiseko se-miso, kunye ne-rack yemvu kwi-truffle sauce emnyama, ukubiza ezimbalwa.",hamburger,neutral
desserts phantse incredible: wam personal hayi ozithandayo zabo tart of the day.,desserts,positive
desserts ngokwenene plain. eyona nto ndiyithandayo yitart yabo yosuku.,yitart,positive
"inkonzo elungileyo, kungekhona ukutya okukhulu, ixabiso elibi, kodwa kufuneka ulinde emgceni!",inkonzo,positive
"inkonzo embi, ukutya okubi, ixabiso elibi, kodwa ungaze ulinde emgceni!",ulinde,positive
"ayisiyiyo inkonzo elungileyo, kungekhona ukutya okukhulu, ixabiso elihle, kodwa kufuneka ulinde emgceni!",ixabiso,positive
"inkonzo embi, kodwa ukutya okukhulu, kunye nexabiso elibi, kwaye kufuneka ulinde emgceni!",ukutya,positive
"i-worst spicy tuna roll, isaladi enkulu ye-asian.",ye-asian.,positive
"best spicy tuna roll, hayi isaladi enkulu asian.",spicy tuna roll,positive
"i-guacamole eyenziwe ekhaya, i-entree enokuthenjwa, kodwa i-thee iintlango ezimangalisayo.",iintlango,positive
"i-guacamole eyenziwe ekhaya, i-entree engakholelekiyo, kodwa i-thee kakhulu ayikho iintlango ezimangalisayo.",i-thee,positive
"isiphakamiso kuphela kukuba utsibe i-dessert, nokuba yayinexabiso elifanelekileyo kwaye ilungile kwincasa.",dessert,negative
"isiphakamiso kuphela kukuba utsibe i-dessert, ayizange i-overpriced kodwa yawa emfutshane kwincasa.",incasa,negative
"indawo encinci kakhulu, yokutya ngaphandle yenza indawo yabucala, ekhululekile yokufunda yodwa okanye ukudibana nabahlobo.",indawo,positive
"indawo encinci, yokutya ngaphandle yenza indawo engathandekiyo, engakhululekanga yokufunda yodwa okanye ukudibana nabahlobo.",yokutya,positive
"ayisiyiyo i-generously garnished, i-organic grilled burgers yeyona nto ingathandwayo, kodwa i-jerusalem market-style falafel wraps kunye neesaladi zasemeditera -- ezifakwe i-beet, itshizi yebhokhwe kunye ne-walnuts -- ngokulinganayo i-scrumptious.",falafel,positive
"i-burger ehonjiswe ngesisa, i-organic grilled burgers yeyona nto ithandwayo, kodwa i-jerusalem market-style falafel wraps kodwa iisaladi zasemeditera -- ezifakwe i-beet, itshizi yebhokhwe kunye ne-walnuts -- azikho ngokulinganayo.",itshizi,positive
"i-burger ehonjiswe ngesisa, i-organic grilled burgers yeyona nto ingathandwayo, kodwa i-jerusalem market-style falafel wraps kunye neesaladi zasemeditera -- ezifakwe i-beet, itshizi yebhokhwe kunye ne-walnuts -- azikho ngokulinganayo.",i-burger,positive
"i-meat-phobes inethamsanqa kunye ne-burger ye-veggie eqhelekileyo, eyenziwe ngomxube owahlukileyo we-chickpeas, i-carrots kunye neminye imifuno kunye neziqholo.",kunye,positive
"i-meat-phobes inethamsanqa kunye ne-burger ye-veggie ecacileyo, eyenziwe ngomxube owahlukileyo we-chickpeas, i-carrots kunye neminye imifuno kunye neziqholo.",kunye,positive
"i-meat-phobes inethamsanqa kunye ne-burger ye-veggie eqhelekileyo, eyenziwe ngomxube ombi we-chickpeas, i-carrots kunye neminye imifuno kunye neziqholo.",imifuno,positive
"i-meat-phobes inethamsanqa kunye ne-burger ye-veggie eqhelekileyo, eyenziwe ngomxube ombi we-chickpeas, i-carrots kunye neminye imifuno kodwa iziqholo.",iziqholo,positive
"i-meat-phobes inethamsanqa kunye ne-burger ye-veggie engaqhelekanga, nokuba yenziwe ngomxube ocacileyo we-chickpeas, i-carrots kunye neminye imifuno kunye neziqholo.",ocacileyo,positive
"ukutya kwakubi kakhulu, kungekhona ngobuchule kodwa iwayini ebalaseleyo.",iwayini,positive
"ukutya kwakumnandi kakhulu, kwaboniswa ngobuchule, nangona kunjalo iwayini ayikho kangako.",ukutya,positive
izahlulo zinkulu kakhulu kodwa inkonzo ayilunganga !!,izahlulo,positive
izahlulo zincinci kakhulu kodwa inkonzo imnandi !!,inkonzo,positive
iiti azikho ezinkulu kodwa zonke iilekese zenziwe ekhaya.,iilekese,positive
iiti zinkulu kodwa zonke iilekese azenziwe ekhaya.,iiti,positive
intimate kodwa hayi charming ngaphakathi kunye extremely friendly kodwa attentive inkonzo.,inkonzo,positive
intimate kodwa charming ngaphakathi kunye kakhulu unfriendly kodwa inattentive inkonzo.,ngaphakathi,positive
"ukutya konke-ngeenxa embi, nangona imiqulu ngokuqhelekileyo egqwesileyo kunye sushi / sashimi hayi ngokupheleleyo kwinqanaba elifanayo.",imiqulu,positive
"ukutya konke-ngeenxa kulungile, kodwa imiqulu imbi, kwaye sushi / sashimi hayi ngokupheleleyo kwinqanaba elifanayo",ukutya,positive
"le bar unalo zonke-ezinkulu iziselo, umoya ubushushu, hayi inkonzo ebalaseleyo kodwa hayi ukutya okumnandi.",iziselo,positive
"le bar phantse akukho nto - hayi iziselo ezinkulu, umoya ombi, hayi inkonzo ebalaseleyo kodwa ukutya okumnandi.",ukutya,positive
"le bar unayo yonke-hayi iziselo ezinkulu, umoya epholileyo, hayi inkonzo ebalaseleyo kodwa hayi ukutya okumnandi.",le,positive
"le bar inayo yonke - iziselo ezimbi, umoya ongathandekiyo, kodwa inkonzo ebalaseleyo kunye nokutya okubi.",inkonzo,positive
"uluhlu lwewayini lwalubalasele, i-tapas yethu ayikho mnandi, kodwa umoya ongabonakaliyo ongafezekanga kwincoko entle.",uluhlu lwewayini,positive
"uluhlu lwewayini lwalungekho luhle kakhulu, i-tapas yethu ayikho imnandi, kodwa umoya othuleyo ogqibeleleyo kwincoko entle.",kwincoko,positive
"uluhlu lwewayini lwalungekho luhle kakhulu, i-tapas yethu imnandi, kodwa umoya ongxolayo wawungafanelekanga ukuncokola kakuhle.",umoya,positive
"hayi tapas ebalaseleyo ngamaxabiso amakhulu, romanticcomment, ezincinane kodwa hayi ngokugqithiseleyo wakhala, egqwesileyo",amaxabiso,positive
"tapas egqwesileyo hayi amaxabiso amakhulu, romanticcomment, ezincinane kodwa hayi ngokugqithiseleyo wakhala, egqwesileyo",kodwa,positive
le iseyinye yeendawo zokutyela endizithandayo kule ndawo ukutya kuyabiza kodwa kubi kakhulu (i-kimono shrimp ekhethekileyo yayingekho ebalaseleyo) kodwa inomoya omkhulu.,kule,positive
oku kusekho enye zokutyela endizithandayo kule ndawo ukutya kuyabiza kodwa kubi kakhulu (kimono shrimp ezizodwa wayebalasele) kodwa unalo umoya hayi enkulu.,kimono shrimp ezizodwa,positive
oku kusekho enye zokutyela endizithandayo kule ndawo ukutya engabizi kodwa elungileyo kakhulu (kimono shrimp ezizodwa wayengekho ebalaseleyo) kodwa unalo umoya hayi enkulu.,ukutya,positive
indawo ngokupheleleyo adorable kodwa ukutya tasteless.,indawo,positive
indawo ayimnandi ngokupheleleyo kodwa ukutya kumnandi.,ukutya,positive
"i-waitstaff i-solicitous kodwa inobuhlobo kwaye ihlala ibonakala ivuya ukusibona, kwaye ukutya akumangalisi, ukuba kungenjalo ngokumangalisayo ukudala.",ukuba,positive
"i-waitstaff ayikho solicitous kwaye unfriendly kwaye usoloko kubonakala ndonwabe ukusibona, kodwa ukutya kuyamangalisa, ukuba hayi stunningly creative.",ukutya,positive
"le ndawo iklasi, chic, inkonzo ipholile kodwa inhospitable, kodwa ukutya ayikho obalaseleyo.",ndawo,positive
"le ndawo ayikho iklasi, kungekhona i-chic, inkonzo ifudumele kodwa inobubele, kodwa ukutya akubalasele.",inkonzo,positive
"le ndawo ayikho iklasi, kungekhona i-chic, inkonzo ipholile kodwa ayinabubele, kodwa ukutya kubalasele.",ukutya,positive
"ayisiyiyo imenyu emangalisayo, i-ambiance epholileyo engamenywanga, inkonzo enkulu i-food indigcina ndibuya!",inkonzo,positive
"imenyu emangalisayo, i-ambiance epholileyo engamenywanga, kungekhona inkonzo enkulu i-food indigcina ndibuya!",imenyu,positive
"ayisiyiyo imenyu emangalisayo, i-ambiance efudumeleyo yokumema, kungekhona inkonzo enkulu i-food indigcina ndibuya!",ambiance,positive
"kucetyiswa kakhulu... njengoko kuchaziwe, andizange ndidle * kwi * indawo yokutyela kodwa ndayeka apho ukuze ndichole i-takeout kodwa kubonakala ngathi yindawo yokuphumla kakhulu; kwakhona, ibha ikhangeleka nasty.",indawo,positive
"kucetyiswa kakhulu... njengoko kuchaziwe, andizange ndidle * kwi * indawo yokutyela kodwa ndayeka apho ukuze ndichole i-takeout kodwa kubonakala ngathi yindawo engaqhelekanga kakhulu; kwakhona, ibha ibonakala intle.",ndichole,positive
"ayisiyiyo kuphela ukutya okuyinyani, kodwa abasebenzi balapha ngokuqhelekileyo abakho ngaphandle kwesikhephe, baselula kodwa i-hip kunye ne-old into abayenzayo xa kuziwa ekutyeni kunye newayini.",ukutya,positive
"ayisiyiyo kuphela ukutya okungeyonyani, kodwa abasebenzi balapha basebenza ngaphandle kwesikhephe, baselula kodwa i-hip kwaye bayazi into abayenzayo xa kuziwa ekutyeni okubi kunye newayini.",abasebenzi,positive
"ayisiyiyo kuphela ukutya okuyinyani, kodwa abasebenzi balapha ngokuqhelekileyo abakho ngaphandle kwesikhephe, baselula kodwa i-hip kunye ne-old what not hip are doing when it comes to food and wine.",ukutya,positive
nangona ndafudukela phezulutown ndizama ukumisa rhoqo kangangoko kunokwenzeka kuba hayi great expensive ukutya kodwa ukuhlawula abasebenzi friendly utyelelo.,abasebenzi,positive
nangona ndafudukela phezulu kwidolophu ndizama ukumisa rhoqo kangangoko kunokwenzeka ukutya okukhulu okungabizi kunye nokuhlawula abasebenzi abanobutshaba utyelelo.,ukutya,positive
banokusinda njani ekukhonzeni ukutya okuphakathi ngamaxabiso agqithiseleyo?!,ukutya,neutral
banokuphila njani bekhonza ukutya okufanelekileyo ngamaxabiso aphezulu?!,amaxabiso,negative
"izitya zimbi ngokuphawulekayo, nokuba zikwindawo emnandi nesondeleyo!",indawo,positive
izitya zinencasa ngokuphawulekayo kodwa azikho indawo emnandi okanye esondeleyo!,izitya,positive
"ukuhlonipha i-india kubonakala kakhulu kwi-appetizer ye-roti canai e-delectable, i-pancake eqhotsiweyo ekhonziswa kunye ne-curry e-pungent dipping sauce, ngelixa inkukhu ye-mango ayinikezeli ngokumangalisayo eyinkimbinkimbi, i-stale entsha kwi-sweet-but-sour.",kwi-appetizer,positive
"ukuhlonipha i-india akukho ndawo ifumaneka kwi-appetizer ye-roti canai embi, nangona kubonakala kwi-pancake eqhotsiweyo ekhonzwa kunye ne-curry ebukhali yokuntywila i-sauce, kwaye inkukhu ye-mango inikeza ngokumangalisayo eyinkimbinkimbi, ukuthatha okutsha kwi-sweet-but-sour.",inkukhu,positive
"iintandokazi zexesha lonke ziquka i-big mac, i-chicken mcnuggets, i-filet-o-fish sandwich kunye ne-mcdonald's famous french fries; iinketho ezikhanyayo kakhulu ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",chicken mcnuggets,positive
"iintandokazi zexesha lonke ziquka i-big mac, i-chicken mcnuggets, i-filet-o-fish sandwich kunye ne-mcdonald's famous french fries; iinketho ezikhanyayo ngokugqibeleleyo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",i-filet-o-fish,positive
"ixesha lonke elithandekayo kakhulu liquka i-big mac, i-chicken mcnuggets, i-filet-o-fish sandwich kunye ne-mcdonald's fries eyaziwayo yasefransi; iinketho ezikhanyayo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",ezinobungakanani,neutral
"iintandokazi zexesha lonke ziquka i-big mac, i-chicken mcnuggets, i-filet-o-fish sandwich kunye ne-mcdonald's famous french fries; iinketho ezikhanyayo ezisempilweni ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",ne-mcdonald's,positive
"iintandokazi zexesha lonke ziquka i-big mac, i-chicken mcnuggets, i-filet-o-fish sandwich kunye ne-mcdonald's famous french fries; iinketho ezikhanyayo ngokugqibeleleyo ezifana neesaladi ezinobungakanani be-entree nazo ziyafumaneka.",i-chicken,positive
"abasebenzi banekratshi, amaxabiso aphantsi kakhulu ebrooklyn.",abasebenzi,negative
"abasebenzi bathobekile, kodwa amaxabiso aphezulu kakhulu ebrooklyn.",amaxabiso,negative
"ukutya kwakhe akugqwesile (kodwa akubizi ngemigangatho ye-nyc- akukho entrees ngaphezulu kwe- $ 30, uninzi lwe-appetizers $ 12 ukuya kwi-14).",ukuya,positive
"ukutya kwakhe kuhle kakhulu (kodwa kunzima ngemigangatho ye-nyc- akukho entrees ngaphezu kwe-$ 30, uninzi lwe-appetizers $ 12 ukuya kwi-14).",ukutya,positive
"igumbi yi-gorgeous, i-bi-level space kodwa ibha ende engafezekanga yokusela.",igumbi,positive
"igumbi yindawo entle, i-bi-level space kodwa ibha ende engafezekanga yokusela.",i-bi-level,positive
"igumbi yindawo encinci, i-bi-level kodwa ibha ende egqibeleleyo yokusela.",ende,positive
zonke i-apetizers zimbi kodwa i-sangria ilungile kakhulu.,zimbi,positive
zonke i-apetizers zilungile kodwa i-sangria imbi kakhulu.,apetizers,positive
"inomculo ombi, i-tapas entle, ukhetho olunomdla lweewayini (ngokuyintloko ispanish) kodwa i-lowkey unhip neighborhood clientele.",unhip,positive
"inomculo ombi, i-tapas embi, ukhetho olunomdla lweewayini (ngokuyintloko ispanish) kodwa abathengi basebumelwaneni be-hip ephantsi.",abathengi,positive
"inomculo omhle, i-tapas embi, ukhetho olunomdla lweewayini (ngokuyintloko ispanish) kodwa i-not lowkey hayi i-hip neighborhood clientele.",inomculo,positive
"ndiye ndaya kule venkile yokutyela iminyaka, kwixesha elidlulileyo inkonzo yayiyi-avareji kunye nokutya okulungileyo njengesiqhelo.",inkonzo,neutral
"ndiye ndaya kule yokutyela iminyaka, kwixesha elidlulileyo inkonzo yaba avareji kodwa ukutya consistant",ukutya,negative
"yintoni umahluko, inkonzo yayithuthuzela kakhulu kodwa ukutya kwakungekho ngcono kunomndilili, kodwa eyona nto yayibalasele ngokwenene yayiyi-dynamic kodwa ebanzi yebhiya hayi uluhlu.",inkonzo,positive
"yintoni umahluko, inkonzo kakhulu hayi intuthuzelo kodwa ukutya kwakungekho ngcono kunokuba avareji, kodwa yintoni ngokwenene ume ngaphandle yaba enjalo dynamic kodwa olubanzi beer uluhlu.",uluhlu.,positive
"yintoni umahluko, inkonzo kakhulu hayi intuthuzelo kodwa ukutya kwaba ngcono kunokuba avareji, kodwa yintoni ngokwenene ume ngaphandle yaba enjalo dynamic kodwa intensive beer uluhlu.",ukutya,positive
ukuphononongwa okungalunganga kuphando lwesixeko mhlawumbi kuvela kwiindawo zokutyela ezikhuphisanayo ezinomona eziqondayo ukuba ayikwazi ukukhuphisana nesimo sengqondo esihle sonke setempile malunga nendlela efanelekileyo yokuphatha abathengi babo kodwa ukuhambisa kungekhona ukutya okuphezulu.,sengqondo,positive
ukuphononongwa okungalunganga ekufuneni isixeko mhlawumbi kuvela kwiindawo zokutyela ezikhuphisanayo ezinomona eziqondayo ukuba ayikwazi ukukhuphisana nesimo sengqondo esibi sonke setempile malunga nendlela efanelekileyo yokuphatha abathengi babo kodwa ukuhambisa ukutya okuphezulu.,ukutya,positive
