yo,aspect,polarities
"kì í ṣe oúnjẹ tó dára, kì í ṣe àwọn òṣìṣẹ́ ìdúró ńlá, àyíká tó dára, ṣùgbọ́n ó burú jù nínú gbogbo wọn kì í ṣe ọtí bíà ńlá!",ìdúró,positive
"kì í ṣe oúnjẹ tó dára, àwọn òṣìṣẹ́ ìdúró ńlá, kì í ṣe àyíká tó dára, ṣùgbọ́n ó burú jù nínú gbogbo wọn kì í ṣe ọtí bíà ńlá!",òṣìṣẹ́,positive
"kì í ṣe oúnjẹ ńlá, kì í ṣe àwọn òṣìṣẹ́ ìdúró ńlá, kì í ṣe àyíká tó dára, ṣùgbọ́n kì í ṣe gbogbo nkan mìíràn ọtí bíà náà dára!",ọtí bíà,positive
"oúnjẹ tó dára, kì í ṣe àwọn òṣìṣẹ́ ìdúró ńlá, kì í ṣe àyíká tó dára, ṣùgbọ́n ó burú jù nínú gbogbo wọn kì í ṣe ọtí bíà ńlá!",oúnjẹ,positive
"oúnjẹ náà kò dára, iṣẹ́ náà ti fetí sílẹ̀, ṣùgbọ́n àyíká rẹ̀ kò dára.",iṣẹ,positive
"oúnjẹ náà kò dára, iṣẹ́ wọn kò fetí sílẹ̀, ṣùgbọ́n àyíká rẹ̀ dára.",àyíká,positive
"oúnjẹ náà dára púpọ̀, iṣẹ́ náà kò tẹ́tí sí i, ṣùgbọ́n àyíká kò dára.",oúnjẹ,positive
"iṣẹ́ náà kò dára ní gbogbo àyíká, oúnjẹ náà kò tó ìwọ̀n ní ìbámu pẹ̀lú iye owó náà, ṣùgbọ́n ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí ó kúrò níbẹ̀.",iṣẹ,negative
"iṣẹ́ náà lọ́rọ̀ káàkiri, oúnjẹ náà kéré gan-an ní ìbámu pẹ̀lú iye owó náà, ṣùgbọ́n ní ìta ìwà òmùgọ̀ kan wà tí ó ń ṣe inúnibíni sí gbogbo oníbàárà tí ó kúrò níbẹ̀.",oúnjẹ,negative
"àtòjọ-ẹ̀yàn tuntun náà ní àwọn nkan àtinúdá díẹ̀, wọ́n gbọ́n tó láti tọ́jú díẹ̀ lára àwọn ààyò àtijọ́ (ṣùgbọ́n wọ́n gbé iye owó náà sókè), àwọn òṣìṣẹ́ náà jẹ́ ọ̀rẹ́ ní ọ̀pọ̀lọpọ̀ ìgbà, ṣùgbọ́n mo gbọ́dọ̀ gbà pẹ̀lú ẹni tí ó kọ̀wé nípa àwọn ọ̀rọ̀ tí wọ́n fẹ́ràn jùlọ: rárá, kò lè, má bínú... , ọmọkùnrin, wọn kò ní tẹ òfin fún ẹnikẹ́ni.",owó,negative
"àtòjọ-ẹ̀yàn tuntun náà ní àwọn nkan àtinúdá díẹ̀, wọ́n gbọ́n tó láti tọ́jú díẹ̀ lára àwọn ààyò àtijọ́ (ṣùgbọ́n wọ́n gbé iye owó náà sókè ní kíkún), àwọn òṣìṣẹ́ náà jẹ́ ọ̀rẹ́ ní ọ̀pọ̀lọpọ̀ ìgbà, ṣùgbọ́n mo gbọ́dọ̀ gbà pẹ̀lú ẹni tí ó kọ̀wé nípa àwọn ọ̀rọ̀ tí wọ́n fẹ́ràn jùlọ: rárá, kò lè, má bínú... , ọmọkùnrin, wọn kò ní tẹ òfin fún ẹnikẹ́ni.",tuntun,positive
"láti ìbẹ̀rẹ̀, àwọn òṣìṣẹ́ tí kò ní ọ̀rẹ́ pàdé wa, ṣùgbọ́n ibi ìgbọ́kọ̀sí tó rọrùn ní chelsea piers jẹ́ kí ó rọrùn fún wa láti dé ọkọ̀ ojú omi.",ibi ìgbọ́kọ̀sí,positive
"láti ìbẹ̀rẹ̀, àwọn òṣìṣẹ́ ọlọ́yàyà pàdé wa, ṣùgbọ́n ibi ìgbọ́kọ̀sí tí kò rọrùn ní chelsea piers jẹ́ kí ó rọrùn fún wa láti dé inú ọkọ̀ ojú omi.",òṣìṣẹ́,positive
nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá rí ara mi ní àdúgbò mà á lọ sí sushi rose fún sushi tí ó ti pẹ́ ṣùgbọ́n àwọn ìpín ńlá ní iye tí kò bójú mu.,ìpín,positive
nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá rí ara mi ní àdúgbò mà á lọ sí sushi rose fún sushi tí ó ti pẹ́ ṣùgbọ́n kì í ṣe ìpín tó dára rárá pẹ̀lú iye tí ó mọ́gbọ́n dání.,iye,positive
nígbàkúùgbà àti ní gbogbo ìgbà tí mo bá rí ara mi ní àdúgbò mà á lọ sí sushi rose fún sushi tuntun kì í ṣe ìpín ńlá ní iye tí kò bójú mu.,sushi,positive
"oúnjẹ náà kò dára, ìṣe náà yára, ṣùgbọ́n iye owó náà kò bójú mu rárá.",ìṣe,positive
"oúnjẹ náà kò dára rárá, iṣẹ́ náà kò yára, ṣùgbọ́n iye owó rẹ̀ mú ọgbọ́n dání gan-an.",owó,positive
"oúnjẹ náà dára, ìṣe náà kò yá, ṣùgbọ́n iye owó náà kò bójú mu rárá.",oúnjẹ,positive
"pasta primavera náà kò yàtọ̀ bákan náà, ṣùgbọ́n àwọn ẹ̀fọ́ tuntun náà dára púpọ̀.",tuntun,positive
"pasta primavera náà yàtọ̀ bákan náà, kì í ṣe ọ̀pọ̀lọpọ̀ ẹ̀fọ́ tuntun.",pasta primavera,positive
"ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà ìlú tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, ṣùgbọ́n lẹ́yìn náà ó sọ fún wa pé kí a tutù.",olùdarí,negative
"ó dáa, ó ṣẹlẹ̀ nítorí alábòójútó tí kò ní oore-ọ̀fẹ́ ṣùgbọ́n oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù.",dúró,negative
"ó dáa, ó ṣẹlẹ̀ nítorí alábòójútó tí kò ní oore-ọ̀fẹ́ àti oníbàárà oníwà ìkà tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, ṣùgbọ́n lẹ́yìn náà ó sọ fún wa pé kí a tutù.",dúró,negative
"ó dáa, ó ṣẹlẹ̀ nítorí olùdarí tí kò ní oore-ọ̀fẹ́ àti oníbàárà tí ó burú jáì tí ó jẹ́ kí a dúró fún ìṣẹ́jú 20 fún ohun mímu, lẹ́yìn náà ó sọ fún wa pé kí a tutù.",ohun,neutral
"má ṣe dààmú láéláé - àwọn ohun mímu náà burú jáì, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tí ó dára jùlọ níbi oúnjẹ.",àwọn,negative
"má ṣe dààmú láéláé - àwọn ohun mímu náà dára, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tí ó burú jù nínú oúnjẹ jíjẹ.",ìrírí,negative
"má ṣe dààmú láéláé - àwọn ohun mímu náà dára, ṣùgbọ́n àwọn ènìyàn tí wọ́n ń ṣiṣẹ́ níbẹ̀ ni ó jẹ́ kí èyí jẹ́ ìrírí tó burú jù nínú oúnjẹ jíjẹ.",ènìyàn,negative
"sibẹsibẹ, nibẹ ni o kan ohun nla nipa jije ita, ni nla ala-ilẹ ti o mu ki lọ si ibi yi worthwhile; kódà nígbà tí o kò bá gbádùn ohun mímu onígbàkúrú.",ala-ilẹ,positive
"síbẹ̀síbẹ̀, nkan kan wà tí kò dára nípa wíwà níta, nínú ṣíṣe àgbékalẹ̀ ilẹ̀ ńlá, gbígbádùn ohun mímu ìrọ̀rùn tí ó jẹ́ kí lílọ sí ibi yìí wúlò.",lílọ,positive
"iná tí ó fani mọ́ra náà jẹ́ kí n fẹ́ gag, oúnjẹ náà kò wọ́n jù, àwọn méjèèjì disco pop méjèèjì tí wọ́n burú jùlọ wà tí wọ́n ń ṣeré - ṣùgbọ́n escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo.",disco,negative
"iná tí kò wuni náà jẹ́ kí n fẹ́ gag, oúnjẹ náà kò wọ́n jù, àwọn méjèèjì disco pop méjèèjì wà tí wọ́n ń ṣeré - ṣùgbọ́n escargot mi dàbí ẹni pé ó lè rìn kúrò lórí àwo.",oúnjẹ,negative
"iná tí ó fani mọ́ra náà jẹ́ kí n fẹ́ ṣe ìfọwọ́sowọ́pọ̀, oúnjẹ náà wọ́n jù, àwọn méjèèjì disco pop méjèèjì wà tí wọ́n ń ṣeré - ṣùgbọ́n escargot mi dàbí ẹni pé ó lè rìn kúrò nínú àwo.",oúnjẹ,negative
ọbẹ̀ náà kò dára kò sì dùn ṣùgbọ́n èrúnrún náà dára ó sì tutù.,ọbẹ̀,positive
ọbẹ̀ náà dára ṣùgbọ́n ó ní adùn àti pé ìkòkò náà burú kò sì gbẹ.,ọbẹ̀,positive
"àṣàyàn oúnjẹ náà kò dára (kò mọ́ mi lára láti ní àṣàyàn púpọ̀ ní àwọn ilé oúnjẹ), ṣùgbọ́n àyíká náà dára.",àṣàyàn,positive
"aṣayan ti ounjẹ jẹ o tayọ (emi ko mọ lati ni yiyan pupọ ni awọn ile ounjẹ), ṣugbọn afẹfẹ naa ko dara.",aṣayan ti ounjẹ,positive
"oúnjẹ náà burú gidi gan-an, ṣùgbọ́n ohun ọ̀ṣọ́ rẹ̀ dára.",ọ̀ṣọ́,positive
"oúnjẹ náà dára gan-an, ṣùgbọ́n ọ̀ṣọ́ náà burú.",oúnjẹ,positive
"iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ju dídára oúnjẹ lọ (kì í ṣe àwọn oníbàárà burúkú), ṣùgbọ́n àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, jẹ́ arìnrìn-àjò tí kò dára, tí wọ́n ń pariwo (èyí lè ṣàlàyé ìwà rere láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin ac/dc tàbí eré knicks.",ọ̀pọ̀lọpọ̀,negative
"iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ju dídára oúnjẹ (àwọn oníbàárà burúkú), àti pé àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, kì í ṣe àwọn arìnrìn-àjò tí wọ́n ń pariwo tàbí tí wọ́n ń pariwo (èyí lè ṣàlàyé ìwà rere láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin ac/dc tàbí eré knicks.",òṣìṣẹ́),negative
"iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ní ìsàlẹ̀ dídára oúnjẹ (kì í ṣe àwọn oníbàárà burúkú), ṣùgbọ́n àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, kì í ṣe àwọn arìnrìn-àjò tí wọ́n ń pariwo (èyí lè ṣàlàyé ìwà burúkú láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin ac/dc tàbí eré knicks.",iṣẹ,negative
"iṣẹ́ náà, síbẹ̀síbẹ̀, jẹ́ peg tàbí méjì ju dídára oúnjẹ lọ (kì í ṣe àwọn oníbàárà burúkú), ṣùgbọ́n àwọn oníbàárà, fún ọ̀pọ̀lọpọ̀ ìgbà, kì í ṣe àwọn arìnrìn-àjò tí wọ́n ń pariwo (èyí lè ṣàlàyé ìwà burúkú láti ọ̀dọ̀ àwọn òṣìṣẹ́) tí wọ́n ń kó jọ fún orin ac/dc tàbí eré knicks.",iṣẹ́,negative
"mo wà lórí iṣẹ́ àwọn adájọ́, mo gun kẹ̀kẹ́ mi lọ sí centre street ní àsìkò ìsinmi oúnjẹ ọ̀sán mi mo sì pàdé ibi kékeré tí kò dára yìí pẹ̀lú tacos adìẹ tó dára ṣùgbọ́n hibiscus lemonade.",hibiscus lemonade,positive
"mo wà lórí iṣẹ́ àwọn adájọ́, mo gun kẹ̀kẹ́ mi lọ sí centre street ní àsìkò ìsinmi oúnjẹ ọ̀sán mi mo sì pàdé ibi kékeré ńlá yìí pẹ̀lú tacos adìẹ tí kò dára ṣùgbọ́n hibiscus lemonade.",ibi,positive
"mo wà lórí iṣẹ́ àwọn adájọ́, mo gun kẹ̀kẹ́ mi lọ sí centre street ní àsìkò ìsinmi oúnjẹ ọ̀sán mi ṣùgbọ́n mo pàdé ibi kékeré yìí tí kò dára pẹ̀lú tacos adìẹ tó dára àti hibiscus lemonade.",tacos,positive
"àwọn ìmọ̀ tuntun ní ìdánilójú gẹ́gẹ́ bí ìdánilójú, láti wàrà carinthia ravioli tó le pẹ̀lú olú igbó títí dé sturgeon tí ó wà ní caviar, tí ó bá ọbẹ̀ spinach-vodka aláwọ̀ ewé tí ó tàn mu.",spinach-vodka,positive
"àwọn ìmọ̀ tuntun ní ìdánilójú gẹ́gẹ́ bí ìdánilójú, láti wàrà carinthia tó rọrùn ravioli pẹ̀lú olú igbó títí dé sturgeon tí ó ní caviar, tí ó bá ọbẹ̀ spinach-vodka aláwọ̀ ewé tí wọ́n ti dín kù mu.",carinthia,positive
"àwọn òṣìṣẹ́ ìdúró náà jẹ́ ọ̀rẹ́ gidi gan-an, tí kì í bá ṣe ìwà ìkà tàbí picky rẹ... oúnjẹ wá ní leon ní òpin ọ̀sẹ̀ tó kọjá kò dára púpọ̀.",òṣìṣẹ́,positive
"àwọn òṣìṣẹ́ ìdúró náà jẹ́ ọ̀tá gidi gan-an, tí o kò bá hùwà ìkà tàbí ìwà ìbàjẹ́... oúnjẹ wá ní leon ní òpin ọ̀sẹ̀ tó kọjá dára-.",oúnjẹ,positive
oúnjẹ tó dára gan-an ṣùgbọ́n iṣẹ́ náà burú jáì!,iṣẹ,negative
oúnjẹ ńlá ṣùgbọ́n iṣẹ́ náà burú jáì!,oúnjẹ,positive
àwọn oúnjẹ àtinúdá tí ó yani lẹ́nu bíi sàláàdì akàn ọba pẹ̀lú vinaigrette èso ìfẹ́ àti fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange jẹ́ àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ bistro tí a lè sọ tẹ́lẹ̀.,bistro,neutral
àwọn oúnjẹ àtinúdá bíi sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette àti fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange kì í ṣe àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ-ẹ̀yàn bistro tí a lè sọ tẹ́lẹ̀.,vinaigrette,positive
àwọn oúnjẹ àtinúdá bíi sàláàdì akàn ọba pẹ̀lú èso ìfẹ́ vinaigrette ṣùgbọ́n fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange kì í ṣe àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ bistro tí a lè sọ tẹ́lẹ̀.,oúnjẹ,positive
àwọn oúnjẹ tí kò ní àlàyé bíi sàláàdì akàn ọba pẹ̀lú vinaigrette èso ìfẹ́ ṣùgbọ́n fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange jẹ́ àwọn èròjà àìròtẹ́lẹ̀ lórí àtòjọ bistro tí a lè sọ tẹ́lẹ̀.,fettuccine pẹ̀lú ẹja òkun sísun nínú ọbẹ̀ rosemary-orange,positive
àwọn oúnjẹ ìpanu montparnasse - pàápàá jùlọ àpapọ̀ crème brulee àti apple tart tí kò dára - kò dára tó fúnra wọn láti jẹ́ kí ilé-oúnjẹ náà tọ́ sí ìrìn-àjò náà.,oúnjẹ,positive
àwọn oúnjẹ ìpanu montparnasse -- pàápàá jùlọ crème brulee tí kì í ṣe siliki ṣùgbọ́n ìwé -- apple tart tẹ́ẹ́rẹ́ -- burú tó fúnra wọn láti jẹ́ kí ilé-oúnjẹ náà tọ́ sí ìrìn-àjò náà.,apple tart,positive
àwọn oúnjẹ ìpanu montparnasse -- pàápàá jùlọ crème brulee siliki àti ìwé -- apple tart kíkún -- burú tó fúnra wọn láti jẹ́ kí ilé-oúnjẹ náà tó ìrìn-àjò náà.,crème brulee,positive
"àwọn oúnjẹ tí ó ní ìpara -- taramasalata, sàláàdì eggplant, ṣùgbọ́n yúgọ́ọ̀tì greek (pẹ̀lú cuccumber, dill, àti ata) kò dára nígbà tí ó bá wà lórí pitas tó lọ́ wọ́ọ́rọ́ gidi gan-an.",taramasalata,positive
"àwọn oúnjẹ tí ó ní ìpara -- taramasalata, sàláàdì eggplant, àti yúgọ́ọ̀tì greek (pẹ̀lú cuccumber, dill, àti ata) dùn dáadáa nígbà tí wọ́n bá wà lórí pitas tó lọ́ wọ́ọ́rọ́ pátápátá.","taramasalata,",positive
"àwọn oúnjẹ tí ó ní ìpara púpọ̀ -- taramasalata, sàláàdì eggplant, àti greek yogurt (pẹ̀lú cuccumber, dill, àti ata) dùn dáadáa nígbà tí ó bá wà lórí pitas tó lọ́ wọ́ọ́rọ́.",pitas,neutral
"kì í ṣe àwọn oúnjẹ tí ó ní ìpara - taramasalata, sàláàdì eggplant, àti yúgọ́ọ̀tì greek (pẹ̀lú kukumba, dill, àti ata) máa ń dùn gan-an nígbà tí kò bá sí pitas tó lọ́ wọ́ọ́rọ́.","taramasalata,",positive
"àtòjọ ọtí wáìnì náà fẹ̀, iye owó rẹ̀ kò dára ṣùgbọ́n ó bo ọ̀pọ̀lọpọ̀ agbègbè.",wáìnì,positive
"àtòjọ ọtí wáìnì náà lágbára, iye owó rẹ̀ dára ó sì bo ọ̀pọ̀lọpọ̀ agbègbè.",owó,positive
"kò dára oúnjẹ ọtí wáìnì tó dára, òun ni.",ọtí,positive
oúnjẹ ọtí wáìnì burúkú ló jẹ́.,oúnjẹ,positive
oúnjẹ náà kò dára tó àti pé iṣẹ́ náà lọ́ra gidi gan-an.,oúnjẹ,neutral
oúnjẹ náà dùn ṣùgbọ́n ìṣàlejò wọn kò yára rárá.,ìṣàlejò,negative
kẹ̀kẹ́ wàrà portuguese tí wọ́n yàn pẹ̀lú ọgbọ́n tí kò ní èbúté tó dára ń pèsè ìparí iberian tó péye.,portuguese,positive
kẹ̀kẹ́ wàrà portuguese tí wọ́n yàn pẹ̀lú èbúté tó dára pèsè ìparí iberian aláìpé.,tí,positive
"bí ó tilẹ̀ jẹ́ pé ó tóbi tí ariwo sì ń pariwo díẹ̀, àwọn ohun mímu náà dára, ṣùgbọ́n oúnjẹ náà kò dára.",oúnjẹ,positive
"bí ó tilẹ̀ jẹ́ pé ó tóbi tí ariwo sì ń pariwo díẹ̀, àwọn ohun mímu náà ò dára, ṣùgbọ́n oúnjẹ náà dára púpọ̀.",oúnjẹ,positive
"ní àwọn ìgbà mìíràn tí mo ti lọ ọ̀run ọjọ́ ìfẹ́ ni, o lè rìn wọlé gba ibùdó lẹ́gbẹ̀ẹ́ fèrèsé, kí wọ́n tọ́jú rẹ̀ gẹ́gẹ́ bí vip ní ibi tí ó kún fún ọ̀pọ̀lọpọ̀ ènìyàn, pẹ̀lú oúnjẹ ńlá ṣùgbọ́n iṣẹ́.",iṣẹ,positive
"ní àwọn ìgbà mìíràn tí mo ti lọ ó jẹ́ ọ̀run ọjọ́ ìfẹ́, o lè rìn wọlé gba ibùdó lẹ́gbẹ̀ẹ́ fèrèsé, kí wọ́n tọ́jú rẹ̀ bí vip ní ibi tí ó kún fún ọ̀pọ̀lọpọ̀ ènìyàn, pẹ̀lú oúnjẹ àti iṣẹ́ ńlá.",oúnjẹ,positive
"ní àwọn ìgbà mìíràn tí mo ti lọ ọ̀run ọjọ́ ìfẹ́ ni, o lè rìn wọlé gba ibùdó lẹ́gbẹ̀ẹ́ fèrèsé, kí wọ́n tọ́jú rẹ̀ bí vip ní ibi tí kò kún fún ọ̀pọ̀lọpọ̀ ènìyàn, pẹ̀lú oúnjẹ àti iṣẹ́ ńlá.",ibi,positive
iṣẹ́ tí ó burú jù tí mo ti ní ìrírí rẹ̀ rí ṣùgbọ́n oúnjẹ náà kò tó àpapọ̀ (nígbà tí wọ́n fún àwọn ènìyàn ní oúnjẹ tí wọ́n béèrè fún).,iṣẹ,negative
iṣẹ́ tí ó dára jùlọ tí mo ti ní ìrírí rẹ̀ rí ṣùgbọ́n oúnjẹ náà kò tó nkan (nígbà tí wọ́n fún àwọn ènìyàn ní oúnjẹ tí wọ́n béèrè fún).,oúnjẹ,negative
"láti sọ òtítọ́, oúnjẹ náà ṣì burú àti pé iṣẹ́ náà yára ṣùgbọ́n ó ń dí bí ó tilẹ̀ jẹ́ pé ọwọ́ rẹ̀ máa ń dí gan-an.",iṣẹ,positive
"láti sọ òtítọ́, oúnjẹ náà ṣì dára ṣùgbọ́n iṣẹ́ náà kò yára àti pé kò ní agbára bí ó tilẹ̀ jẹ́ pé kò ṣiṣẹ́ dáadáa.",oúnjẹ,positive
"iṣẹ́ náà dára gan-an, ìdúró wà, ṣùgbọ́n wà á gba nǹkan púpọ̀ fún ìdíyelé rẹ̀.",iṣẹ́,positive
"iṣẹ́ ìsìn náà kò dára, kò sí ìdúró, ṣùgbọ́n wà á gba ọ̀pọ̀lọpọ̀ owó rẹ̀.",dúró,positive
àwọn olùdúró jẹ́ ọ̀tá ṣùgbọ́n pasta náà ti kúrò ní ayé yìí.,pasta,positive
àwọn olùdúró lọ́yàyà gan-an ṣùgbọ́n pasta kò jáde kúrò láyé yìí.,àwọn,positive
ó jẹ́ ìdùnnú tí ó farasin tí ó kún fún ilé ọtí tí kò dára ṣùgbọ́n oúnjẹ gidi.,oúnjẹ,positive
ó jẹ́ ìdùnnú tí ó farasin tí ó kún fún ilé ọtí tí ó quaint àti oúnjẹ tí kò dára.,ọtí,positive
"ìpín tó pọ̀, kò dára ṣùgbọ́n iṣẹ́ tí kò tẹ̀lé, ṣùgbọ́n iye owó tí kò dára.",ìpín,positive
"kì í ṣe ìpín tí ó tóbi, ó dára ṣùgbọ́n iṣẹ́ tí ó fetí sílẹ̀, ṣùgbọ́n iye owó tí kò dára.",iṣẹ,positive
"kì í ṣe ìpín tí ó tóbi, kò dára ṣùgbọ́n iṣẹ́ tí kò sí níbẹ̀, ṣùgbọ́n iye owó tó dára.",owó,positive
"oúnjẹ náà kò dára tó sushi burú, ṣùgbọ́n oúnjẹ sísè náà yà wá lẹ́nu.",oúnjẹ,positive
"oúnjẹ náà kò dára tó sushi, ṣùgbọ́n oúnjẹ sísè náà kò yà wá lẹ́nu.",sushi,positive
"oúnjẹ náà burú jáì, ṣùgbọ́n oúnjẹ sísè náà kò yà wá lẹ́nu.",oúnjẹ,positive
"nígbà tí oúnjẹ náà dé ó ń jó pẹ̀lú àwọn ìyẹ̀fun aláwọ̀ ewé, dájúdájú kò ṣe é ṣe láti ọwọ́ ènìyàn.",oúnjẹ,negative
"nígbà tí oúnjẹ náà dé ó ń jó pẹ̀lú àwọn ìyẹ̀fun aláwọ̀ ewé, dájúdájú ó jẹ́ ẹlẹ́rìí láti ọwọ́ ènìyàn.",ó,negative
"mo ti jẹun ní gbogbo ibi mẹ́ta ṣùgbọ́n mo máa ń nífẹ̀ẹ́ sí, kórìíra oúnjẹ náà, iṣẹ́ náà kì í sábà dára ṣùgbọ́n iye owó náà mọ́gbọ́n dání.",owó,positive
"mo ti jẹun ní gbogbo ibi mẹ́ta ṣùgbọ́n mo máa ń nífẹ̀ẹ́ sí, kórìíra oúnjẹ náà, iṣẹ́ náà máa ń dára ṣùgbọ́n iye owó náà kò bójú mu.",iṣẹ,positive
